timestamp,charge_point_id,command_type,voltage,current_amp,temperature,state_of_charge,power_kw,max_allowed_current,max_allowed_temp,max_allowed_voltage,current_deviation,temp_deviation,voltage_deviation,is_rapid_charging,command_source,anomaly_type,risk_level,label
2025-01-04T20:27:44.000Z,CP_007,SetChargingProfile,512.12,147.76,74.1,19.2,75.67,32.0,55.0,440.0,-115.76,-19.1,-72.12,1,manipulated,combined_attack,critical,1
2025-01-01T06:35:13.000Z,CP_001,ChangeConfiguration,394.35,20.17,36.9,24.9,19.95,30.2,59.0,421.1,10.03,22.1,26.75,0,csms,normal,none,0
2025-01-01T01:15:05.000Z,CP_018,UpdateFirmware,410.58,25.7,39.8,29.2,15.03,35.21,56.4,447.78,9.51,16.6,37.2,1,csms,normal,none,0
2025-01-01T20:40:33.000Z,CP_020,Reset,395.55,22.28,22.9,39.9,14.08,29.01,43.0,431.56,6.73,20.1,36.01,0,csms,normal,none,0
2025-01-01T11:41:40.000Z,CP_012,UpdateFirmware,401.39,31.37,22.0,49.1,18.59,42.85,34.6,422.18,11.48,12.6,20.79,0,local,normal,none,0
2025-01-02T00:21:19.000Z,CP_012,SetChargingProfile,509.74,16.21,26.8,65.0,8.26,32.0,55.0,440.0,15.79,28.2,-69.74,1,manipulated,voltage_spike,high,1
2025-01-07T16:27:28.000Z,CP_013,SetChargingProfile,402.77,73.17,32.9,18.6,29.47,32.0,55.0,440.0,-41.17,22.1,37.23,1,manipulated,overcurrent_attack,high,1
2025-01-04T00:28:23.000Z,CP_004,ChangeConfiguration,215.18,28.0,28.1,75.9,6.03,32.0,55.0,440.0,4.0,26.9,224.82,1,manipulated,voltage_drop,medium,1
2025-01-02T07:29:18.000Z,CP_005,SetChargingProfile,414.04,23.49,24.8,19.6,9.77,33.08,38.7,437.76,9.59,13.9,23.72,1,csms,normal,none,0
2025-01-05T16:45:30.000Z,CP_010,ChangeConfiguration,409.75,27.12,117.3,34.8,13.01,32.0,55.0,440.0,4.88,-62.3,30.25,1,manipulated,temperature_limit_bypass,critical,1
2025-01-01T08:01:30.000Z,CP_002,ChangeConfiguration,420.0,21.6,36.3,76.4,16.92,34.14,60.5,443.99,12.54,24.2,23.99,0,csms,normal,none,0
2025-01-01T14:53:03.000Z,CP_005,ChangeConfiguration,387.93,22.41,37.2,89.7,8.63,33.27,61.0,409.43,10.86,23.8,21.5,0,local,normal,none,0
2025-01-01T00:59:44.000Z,CP_020,SetChargingProfile,405.4,24.55,26.1,49.3,11.34,38.8,46.4,429.79,14.25,20.3,24.39,0,csms,normal,none,0
2025-01-01T00:34:41.000Z,CP_003,UpdateFirmware,417.05,29.58,24.2,51.3,10.52,38.59,35.1,444.63,9.01,10.9,27.58,1,local,normal,none,0
2025-01-07T04:42:46.000Z,CP_020,RemoteStartTransaction,385.78,26.63,40.6,72.4,19.45,38.96,50.8,423.71,12.33,10.2,37.93,1,local,normal,none,0
2025-01-06T06:51:47.000Z,CP_014,Reset,400.51,22.4,24.8,24.7,17.43,36.27,39.0,428.37,13.87,14.2,27.86,1,csms,normal,none,0
2025-01-03T05:47:17.000Z,CP_013,SetChargingProfile,407.96,16.1,24.2,51.8,8.81,28.84,40.5,436.3,12.74,16.3,28.34,1,csms,normal,none,0
2025-01-05T03:53:35.000Z,CP_015,RemoteStartTransaction,406.75,270.85,26.2,22.0,110.17,32.0,55.0,440.0,-238.85,28.8,33.25,1,manipulated,overcurrent_attack,critical,1
2025-01-03T18:43:07.000Z,CP_015,UpdateFirmware,399.82,24.28,21.1,71.3,8.09,38.46,39.1,426.14,14.18,18.0,26.32,0,local,normal,none,0
2025-01-01T22:34:37.000Z,CP_013,SetChargingProfile,406.15,21.84,36.3,81.0,14.94,30.6,59.9,436.48,8.76,23.6,30.33,1,local,normal,none,0
2025-01-01T05:30:37.000Z,CP_017,ChangeConfiguration,405.16,25.92,41.0,22.6,17.34,31.24,65.2,427.36,5.32,24.2,22.2,1,local,normal,none,0
2025-01-02T08:36:14.000Z,CP_018,RemoteStartTransaction,411.06,22.52,85.8,21.7,11.2,32.0,55.0,440.0,9.48,-30.8,28.94,1,manipulated,temperature_limit_bypass,critical,1
2025-01-01T00:53:35.000Z,CP_010,RemoteStartTransaction,391.48,22.88,34.5,65.6,14.19,32.3,47.7,420.94,9.42,13.2,29.46,0,local,normal,none,0
2025-01-02T18:13:56.000Z,CP_011,SetChargingProfile,394.43,19.5,38.8,55.1,21.95,32.74,63.5,414.61,13.24,24.7,20.18,1,csms,normal,none,0
2025-01-03T04:04:55.000Z,CP_012,ChangeConfiguration,406.87,30.17,29.9,81.4,19.7,37.53,48.5,436.87,7.36,18.6,30.0,1,local,normal,none,0
2025-01-03T08:58:57.000Z,CP_015,ChangeConfiguration,478.73,185.02,66.2,83.9,88.57,32.0,55.0,440.0,-153.02,-11.2,-38.73,1,manipulated,combined_attack,critical,1
2025-01-04T20:18:21.000Z,CP_020,RemoteStartTransaction,414.24,22.89,42.3,75.8,13.06,29.98,61.5,435.74,7.09,19.2,21.5,1,csms,normal,none,0
2025-01-02T08:06:14.000Z,CP_017,ChangeConfiguration,384.73,25.23,29.8,74.8,20.78,38.6,42.2,411.18,13.37,12.4,26.45,0,csms,normal,none,0
2025-01-04T01:43:28.000Z,CP_008,SetChargingProfile,409.69,22.95,62.2,77.2,8.66,32.0,55.0,440.0,9.05,-7.2,30.31,1,manipulated,temperature_limit_bypass,high,1
2025-01-06T10:10:15.000Z,CP_018,RemoteStartTransaction,399.05,20.64,120.1,91.5,14.6,32.0,55.0,440.0,11.36,-65.1,40.95,1,manipulated,temperature_limit_bypass,critical,1
2025-01-01T07:10:57.000Z,CP_015,SetChargingProfile,390.37,19.96,35.9,75.1,15.01,31.23,50.0,411.92,11.27,14.1,21.55,0,local,normal,none,0
2025-01-03T22:21:15.000Z,CP_018,RemoteStartTransaction,392.35,78.97,44.4,106.4,14.52,32.0,55.0,440.0,-46.97,10.6,47.65,1,manipulated,battery_overcharge,critical,1
2025-01-01T05:57:55.000Z,CP_011,ChangeConfiguration,417.35,27.54,24.7,23.5,21.94,37.21,47.9,447.3,9.67,23.2,29.95,1,local,normal,none,0
2025-01-06T14:42:49.000Z,CP_009,ChangeConfiguration,407.91,25.42,66.1,59.7,19.52,32.0,55.0,440.0,6.58,-11.1,32.09,1,manipulated,temperature_limit_bypass,high,1
2025-01-03T12:47:29.000Z,CP_005,SetChargingProfile,391.23,183.12,26.9,94.9,71.64,32.0,55.0,440.0,-151.12,28.1,48.77,1,manipulated,overcurrent_attack,critical,1
2025-01-01T19:07:12.000Z,CP_016,UpdateFirmware,399.9,18.56,43.1,14.6,12.72,25.66,56.9,432.24,7.1,13.8,32.34,0,csms,normal,none,0
2025-01-01T08:43:56.000Z,CP_011,RemoteStartTransaction,419.85,23.84,38.8,24.0,20.64,36.96,49.1,444.34,13.12,10.3,24.49,0,csms,normal,none,0
2025-01-05T04:21:57.000Z,CP_013,SetChargingProfile,399.01,27.52,35.1,74.8,14.77,37.13,51.8,427.99,9.61,16.7,28.98,0,local,normal,none,0
2025-01-03T03:47:35.000Z,CP_007,RemoteStartTransaction,400.12,68.85,22.7,109.6,12.15,32.0,55.0,440.0,-36.85,32.3,39.88,1,manipulated,battery_overcharge,critical,1
2025-01-01T00:52:30.000Z,CP_012,SetChargingProfile,393.25,17.75,30.4,36.2,20.52,31.47,49.8,425.19,13.72,19.4,31.94,0,csms,normal,none,0
2025-01-05T18:59:03.000Z,CP_010,Reset,415.56,19.45,40.5,51.5,9.19,27.94,63.6,443.91,8.49,23.1,28.35,1,local,normal,none,0
2025-01-01T11:29:56.000Z,CP_009,ChangeConfiguration,392.96,26.38,37.8,23.9,18.11,32.29,58.4,425.64,5.91,20.6,32.68,1,csms,normal,none,0
2025-01-03T14:27:04.000Z,CP_015,ChangeConfiguration,416.37,31.53,22.5,54.8,18.01,44.61,41.5,443.93,13.08,19.0,27.56,0,csms,normal,none,0
2025-01-03T01:24:14.000Z,CP_005,Reset,384.34,19.24,41.5,52.9,13.53,25.74,52.9,413.86,6.5,11.4,29.52,0,csms,normal,none,0
2025-01-04T02:15:28.000Z,CP_002,ChangeConfiguration,385.33,28.66,35.8,42.0,9.7,42.46,47.0,405.47,13.8,11.2,20.14,1,local,normal,none,0
2025-01-02T04:32:14.000Z,CP_019,UpdateFirmware,416.36,21.43,35.1,81.6,16.99,27.74,49.5,450.59,6.31,14.4,34.23,1,local,normal,none,0
2025-01-04T16:41:00.000Z,CP_020,ChangeConfiguration,418.89,21.19,43.7,85.1,11.25,27.53,67.2,444.79,6.34,23.5,25.9,0,local,normal,none,0
2025-01-03T02:11:01.000Z,CP_003,SetChargingProfile,416.45,22.17,25.1,34.7,15.06,31.72,40.6,436.67,9.55,15.5,20.22,1,local,normal,none,0
2025-01-03T11:18:39.000Z,CP_005,SetChargingProfile,414.73,26.25,43.2,45.9,16.34,35.3,66.8,436.31,9.05,23.6,21.58,0,local,normal,none,0
2025-01-01T19:06:08.000Z,CP_019,RemoteStartTransaction,389.57,16.81,42.6,29.2,10.8,22.81,57.6,419.02,6.0,15.0,29.45,0,csms,normal,none,0
2025-01-02T23:41:45.000Z,CP_006,UpdateFirmware,414.09,23.86,23.4,26.4,7.87,36.51,33.6,439.49,12.65,10.2,25.4,0,csms,normal,none,0
2025-01-03T07:46:44.000Z,CP_016,RemoteStartTransaction,396.45,28.19,23.0,41.3,18.43,38.23,44.7,424.65,10.04,21.7,28.2,1,csms,normal,none,0
2025-01-01T01:34:30.000Z,CP_016,UpdateFirmware,417.88,23.63,20.2,46.6,11.68,30.94,30.3,445.35,7.31,10.1,27.47,1,local,normal,none,0
2025-01-04T01:31:11.000Z,CP_004,UpdateFirmware,403.81,20.81,38.3,59.0,8.55,26.37,59.9,430.77,5.56,21.6,26.96,1,csms,normal,none,0
2025-01-03T02:50:32.000Z,CP_010,SetChargingProfile,407.72,16.75,29.5,45.4,18.91,28.6,54.0,428.8,11.85,24.5,21.08,0,local,normal,none,0
2025-01-03T15:35:13.000Z,CP_001,RemoteStartTransaction,413.82,69.03,33.2,52.6,28.57,32.0,55.0,440.0,-37.03,21.8,26.18,1,manipulated,overcurrent_attack,high,1
2025-01-06T21:16:26.000Z,CP_016,RemoteStartTransaction,477.64,70.22,73.0,12.0,33.54,32.0,55.0,440.0,-38.22,-18.0,-37.64,1,manipulated,combined_attack,critical,1
2025-01-01T01:47:39.000Z,CP_007,UpdateFirmware,405.02,20.23,22.0,30.4,15.46,26.8,38.1,438.81,6.57,16.1,33.79,1,csms,normal,none,0
2025-01-04T14:57:30.000Z,CP_002,Reset,384.24,16.86,30.7,25.2,16.1,27.79,53.2,418.23,10.93,22.5,33.99,1,local,normal,none,0
2025-01-01T04:06:12.000Z,CP_017,Reset,403.73,23.51,42.7,13.7,11.8,28.61,54.1,426.21,5.1,11.4,22.48,0,csms,normal,none,0
2025-01-04T13:34:00.000Z,CP_015,ChangeConfiguration,485.7,117.44,77.3,65.5,57.04,32.0,55.0,440.0,-85.44,-22.3,-45.7,1,manipulated,combined_attack,critical,1
2025-01-01T17:23:24.000Z,CP_015,UpdateFirmware,408.79,26.11,44.4,27.2,9.26,38.03,55.3,431.52,11.92,10.9,22.73,1,local,normal,none,0
2025-01-01T11:35:32.000Z,CP_003,UpdateFirmware,395.88,27.87,30.9,49.1,8.54,36.0,47.3,423.97,8.13,16.4,28.09,1,csms,normal,none,0
2025-01-06T10:45:25.000Z,CP_015,SetChargingProfile,279.16,17.66,41.2,74.4,4.93,32.0,55.0,440.0,14.34,13.8,160.84,1,manipulated,voltage_drop,medium,1
2025-01-02T13:41:49.000Z,CP_011,RemoteStartTransaction,385.91,23.15,39.9,93.0,19.29,29.28,56.3,420.44,6.13,16.4,34.53,0,local,normal,none,0
2025-01-05T12:10:34.000Z,CP_001,SetChargingProfile,389.93,16.74,43.6,86.9,11.68,27.08,55.7,419.74,10.34,12.1,29.81,1,csms,normal,none,0
2025-01-01T19:16:06.000Z,CP_003,ChangeConfiguration,406.19,30.17,27.7,31.0,11.55,41.43,39.7,442.96,11.26,12.0,36.77,0,local,normal,none,0
2025-01-01T12:39:16.000Z,CP_007,Reset,384.83,29.64,25.4,80.1,10.18,38.02,46.8,405.76,8.38,21.4,20.93,0,local,normal,none,0
2025-01-02T09:56:09.000Z,CP_007,RemoteStartTransaction,387.67,22.05,29.4,61.0,21.66,29.5,40.1,419.99,7.45,10.7,32.32,1,csms,normal,none,0
2025-01-02T13:42:29.000Z,CP_017,RemoteStartTransaction,385.39,23.98,33.3,14.1,21.06,37.37,50.5,415.56,13.39,17.2,30.17,0,csms,normal,none,0
2025-01-02T07:44:32.000Z,CP_009,SetChargingProfile,419.87,27.3,32.0,80.4,14.63,39.34,47.7,459.49,12.04,15.7,39.62,0,csms,normal,none,0
2025-01-07T13:56:36.000Z,CP_011,RemoteStartTransaction,393.89,126.19,27.2,51.4,49.7,32.0,55.0,440.0,-94.19,27.8,46.11,1,manipulated,overcurrent_attack,critical,1
2025-01-02T21:29:02.000Z,CP_005,ChangeConfiguration,385.54,21.87,34.6,29.8,19.24,27.79,50.6,423.9,5.92,16.0,38.36,1,local,normal,none,0
2025-01-01T00:23:03.000Z,CP_014,UpdateFirmware,383.51,29.18,35.6,50.8,8.82,36.25,55.2,423.05,7.07,19.6,39.54,0,local,normal,none,0
2025-01-02T01:52:21.000Z,CP_018,SetChargingProfile,383.14,30.76,39.1,58.3,8.76,43.78,59.6,405.09,13.02,20.5,21.95,1,local,normal,none,0
2025-01-03T00:41:39.000Z,CP_003,RemoteStartTransaction,488.31,151.06,57.6,84.8,73.76,32.0,55.0,440.0,-119.06,-2.6,-48.31,1,manipulated,combined_attack,critical,1
2025-01-01T13:13:50.000Z,CP_002,Reset,402.8,24.52,34.9,24.3,21.69,32.45,53.5,441.85,7.93,18.6,39.05,0,csms,normal,none,0
2025-01-02T00:43:46.000Z,CP_014,UpdateFirmware,387.21,28.68,20.7,93.0,10.84,38.19,34.4,418.87,9.51,13.7,31.66,0,csms,normal,none,0
2025-01-01T03:02:36.000Z,CP_008,ChangeConfiguration,383.06,344.84,24.5,13.7,132.09,32.0,55.0,440.0,-312.84,30.5,56.94,1,manipulated,overcurrent_attack,critical,1
2025-01-05T08:00:02.000Z,CP_015,UpdateFirmware,418.44,25.93,36.3,24.2,8.28,40.15,50.4,443.46,14.22,14.1,25.02,1,csms,normal,none,0
2025-01-06T01:27:50.000Z,CP_007,UpdateFirmware,382.16,29.89,43.8,68.1,11.34,41.25,55.1,403.55,11.36,11.3,21.39,0,local,normal,none,0
2025-01-04T20:28:51.000Z,CP_006,SetChargingProfile,392.91,17.78,110.4,87.3,17.62,32.0,55.0,440.0,14.22,-55.4,47.09,1,manipulated,temperature_limit_bypass,critical,1
2025-01-05T10:32:06.000Z,CP_005,ChangeConfiguration,380.05,19.59,25.7,42.8,12.56,27.46,49.5,413.74,7.87,23.8,33.69,1,csms,normal,none,0
2025-01-02T21:37:09.000Z,CP_005,SetChargingProfile,410.97,29.54,41.5,91.6,12.85,43.96,57.4,432.99,14.42,15.9,22.02,1,csms,normal,none,0
2025-01-01T08:13:06.000Z,CP_005,SetChargingProfile,394.38,378.49,33.7,16.1,149.27,32.0,55.0,440.0,-346.49,21.3,45.62,1,manipulated,overcurrent_attack,critical,1
2025-01-04T07:38:49.000Z,CP_015,ChangeConfiguration,410.56,26.01,34.5,17.3,8.29,31.34,49.2,447.51,5.33,14.7,36.95,0,csms,normal,none,0
2025-01-01T06:41:05.000Z,CP_005,UpdateFirmware,414.67,18.91,26.5,37.8,14.04,27.29,49.7,440.24,8.38,23.2,25.57,1,csms,normal,none,0
2025-01-01T20:13:54.000Z,CP_013,SetChargingProfile,411.18,20.56,38.8,65.6,9.16,30.47,55.3,447.31,9.91,16.5,36.13,0,local,normal,none,0
2025-01-01T10:34:22.000Z,CP_006,ChangeConfiguration,413.22,26.95,44.5,50.7,10.06,33.3,65.2,452.09,6.35,20.7,38.87,1,csms,normal,none,0
2025-01-02T04:41:24.000Z,CP_011,UpdateFirmware,417.44,20.88,26.0,78.8,17.05,35.29,50.7,457.39,14.41,24.7,39.95,0,csms,normal,none,0
2025-01-01T12:38:20.000Z,CP_016,UpdateFirmware,392.57,31.43,44.2,34.8,17.55,41.34,62.8,417.42,9.91,18.6,24.85,1,local,normal,none,0
2025-01-02T13:50:43.000Z,CP_013,Reset,418.02,22.83,41.0,88.7,8.8,37.57,53.7,439.07,14.74,12.7,21.05,1,local,normal,none,0
2025-01-06T01:43:27.000Z,CP_012,RemoteStartTransaction,410.31,22.26,33.2,34.1,17.57,29.21,56.0,438.19,6.95,22.8,27.88,1,csms,normal,none,0
2025-01-03T09:54:16.000Z,CP_019,SetChargingProfile,494.34,189.55,86.3,27.0,93.7,32.0,55.0,440.0,-157.55,-31.3,-54.34,1,manipulated,combined_attack,critical,1
2025-01-07T08:41:30.000Z,CP_014,SetChargingProfile,461.85,80.3,66.7,82.8,37.09,32.0,55.0,440.0,-48.3,-11.7,-21.85,1,manipulated,combined_attack,critical,1
2025-01-02T02:40:53.000Z,CP_013,RemoteStartTransaction,407.61,23.1,35.0,14.1,12.91,30.12,48.7,445.79,7.02,13.7,38.18,0,csms,normal,none,0
2025-01-04T13:12:34.000Z,CP_007,Reset,407.0,20.0,38.6,75.3,19.74,26.91,57.7,429.76,6.91,19.1,22.76,1,csms,normal,none,0
2025-01-01T14:42:48.000Z,CP_001,RemoteStartTransaction,393.65,29.28,44.1,34.8,15.02,41.3,54.8,416.93,12.02,10.7,23.28,1,csms,normal,none,0
2025-01-03T00:49:50.000Z,CP_012,ChangeConfiguration,403.56,27.86,39.0,69.2,8.83,34.2,56.2,428.21,6.34,17.2,24.65,1,local,normal,none,0
2025-01-01T23:02:36.000Z,CP_010,UpdateFirmware,405.85,30.7,28.7,81.6,18.97,39.61,51.1,442.85,8.91,22.4,37.0,0,csms,normal,none,0
2025-01-03T18:24:35.000Z,CP_002,Reset,387.59,23.03,42.1,75.8,11.57,29.69,56.5,425.97,6.66,14.4,38.38,0,local,normal,none,0
2025-01-02T19:03:32.000Z,CP_010,RemoteStartTransaction,390.41,31.85,20.8,44.4,14.0,44.33,34.5,419.65,12.48,13.7,29.24,0,csms,normal,none,0
2025-01-05T01:00:01.000Z,CP_014,SetChargingProfile,294.59,17.6,29.0,36.3,5.18,32.0,55.0,440.0,14.4,26.0,145.41,1,manipulated,voltage_drop,medium,1
2025-01-02T03:58:32.000Z,CP_002,SetChargingProfile,413.26,24.29,27.6,23.8,21.05,31.54,51.8,443.64,7.25,24.2,30.38,0,local,normal,none,0
2025-01-01T15:55:21.000Z,CP_004,SetChargingProfile,442.28,138.69,88.9,69.6,61.34,32.0,55.0,440.0,-106.69,-33.9,-2.28,1,manipulated,combined_attack,critical,1
2025-01-04T17:23:37.000Z,CP_017,SetChargingProfile,215.57,26.99,24.3,90.7,5.82,32.0,55.0,440.0,5.01,30.7,224.43,1,manipulated,voltage_drop,medium,1
2025-01-03T08:51:58.000Z,CP_002,UpdateFirmware,392.06,26.02,21.6,67.6,15.57,33.97,37.3,413.98,7.95,15.7,21.92,0,csms,normal,none,0
2025-01-01T22:54:40.000Z,CP_010,SetChargingProfile,396.26,21.0,22.3,16.8,18.06,35.45,34.8,417.41,14.45,12.5,21.15,1,csms,normal,none,0
2025-01-07T06:42:24.000Z,CP_002,SetChargingProfile,500.21,26.07,41.7,10.7,13.04,32.0,55.0,440.0,5.93,13.3,-60.21,1,manipulated,voltage_spike,high,1
2025-01-04T23:51:03.000Z,CP_014,ChangeConfiguration,387.79,17.73,21.9,61.3,19.76,23.01,36.1,418.62,5.28,14.2,30.83,0,csms,normal,none,0
2025-01-01T03:31:35.000Z,CP_012,UpdateFirmware,417.66,26.74,39.6,37.1,13.48,33.23,55.2,452.75,6.49,15.6,35.09,0,csms,normal,none,0
2025-01-05T06:03:55.000Z,CP_010,UpdateFirmware,392.93,16.89,21.8,90.9,12.97,25.88,34.5,432.23,8.99,12.7,39.3,0,csms,normal,none,0
2025-01-04T01:39:25.000Z,CP_020,RemoteStartTransaction,401.45,26.26,37.6,13.3,9.0,35.83,60.8,439.01,9.57,23.2,37.56,1,csms,normal,none,0
2025-01-01T18:44:46.000Z,CP_005,SetChargingProfile,387.11,16.03,37.6,58.7,19.82,28.74,56.1,410.75,12.71,18.5,23.64,0,csms,normal,none,0
2025-01-08T11:14:19.000Z,CP_003,ChangeConfiguration,442.67,150.63,66.3,90.9,66.68,32.0,55.0,440.0,-118.63,-11.3,-2.67,1,manipulated,combined_attack,critical,1
2025-01-02T15:29:45.000Z,CP_017,RemoteStartTransaction,416.57,281.06,29.1,92.9,117.08,32.0,55.0,440.0,-249.06,25.9,23.43,1,manipulated,overcurrent_attack,critical,1
2025-01-04T21:07:32.000Z,CP_002,ChangeConfiguration,413.66,20.16,32.7,20.5,18.45,34.57,49.4,445.11,14.41,16.7,31.45,1,local,normal,none,0
2025-01-01T05:08:51.000Z,CP_011,UpdateFirmware,384.9,31.08,21.3,88.6,13.72,43.32,38.7,412.55,12.24,17.4,27.65,0,local,normal,none,0
2025-01-01T22:40:36.000Z,CP_018,RemoteStartTransaction,409.97,22.64,22.6,64.3,12.63,32.23,42.6,447.63,9.59,20.0,37.66,0,local,normal,none,0
2025-01-01T21:06:03.000Z,CP_007,UpdateFirmware,418.98,22.55,33.9,88.7,15.29,34.16,48.4,440.9,11.61,14.5,21.92,1,csms,normal,none,0
2025-01-05T17:28:46.000Z,CP_013,ChangeConfiguration,221.7,21.22,30.0,71.5,4.7,32.0,55.0,440.0,10.78,25.0,218.3,1,manipulated,voltage_drop,medium,1
2025-01-07T12:33:54.000Z,CP_017,RemoteStartTransaction,587.61,16.91,37.4,19.4,9.94,32.0,55.0,440.0,15.09,17.6,-147.61,1,manipulated,voltage_spike,high,1
2025-01-02T12:50:19.000Z,CP_012,ChangeConfiguration,230.75,23.37,36.5,27.0,5.39,32.0,55.0,440.0,8.63,18.5,209.25,1,manipulated,voltage_drop,medium,1
2025-01-01T18:41:30.000Z,CP_008,RemoteStartTransaction,397.43,26.02,39.8,26.2,11.79,35.65,56.9,417.87,9.63,17.1,20.44,0,local,normal,none,0
2025-01-02T12:07:23.000Z,CP_007,SetChargingProfile,403.69,24.73,37.0,56.8,21.31,34.35,57.6,432.46,9.62,20.6,28.77,0,local,normal,none,0
2025-01-09T07:06:17.000Z,CP_016,SetChargingProfile,404.27,44.31,35.2,100.8,17.15,32.0,55.0,440.0,-12.31,19.8,35.73,1,manipulated,battery_overcharge,critical,1
2025-01-01T06:23:20.000Z,CP_003,UpdateFirmware,380.21,20.93,29.0,32.9,9.33,27.8,45.7,411.3,6.87,16.7,31.09,0,csms,normal,none,0
2025-01-01T16:47:08.000Z,CP_018,SetChargingProfile,410.52,18.93,37.0,38.5,8.7,27.48,58.2,436.66,8.55,21.2,26.14,1,local,normal,none,0
2025-01-05T14:22:41.000Z,CP_016,ChangeConfiguration,567.27,30.02,25.7,89.2,17.03,32.0,55.0,440.0,1.98,29.3,-127.27,1,manipulated,voltage_spike,high,1
2025-01-05T08:43:43.000Z,CP_017,SetChargingProfile,212.1,17.13,30.4,32.1,3.63,32.0,55.0,440.0,14.87,24.6,227.9,1,manipulated,voltage_drop,medium,1
2025-01-02T10:40:29.000Z,CP_020,Reset,406.32,21.27,21.1,62.9,14.02,35.74,46.1,444.46,14.47,25.0,38.14,0,csms,normal,none,0
2025-01-01T07:11:53.000Z,CP_016,ChangeConfiguration,492.68,114.24,69.3,58.8,56.28,32.0,55.0,440.0,-82.24,-14.3,-52.68,1,manipulated,combined_attack,critical,1
2025-01-06T03:22:21.000Z,CP_020,RemoteStartTransaction,404.0,16.08,33.0,31.6,9.18,27.14,51.0,434.36,11.06,18.0,30.36,0,local,normal,none,0
2025-01-04T17:40:19.000Z,CP_012,SetChargingProfile,416.13,26.96,33.4,30.1,13.86,32.04,57.8,454.68,5.08,24.4,38.55,1,csms,normal,none,0
2025-01-01T02:34:59.000Z,CP_007,ChangeConfiguration,408.52,22.38,36.8,41.7,20.53,31.89,50.5,429.8,9.51,13.7,21.28,0,csms,normal,none,0
2025-01-01T06:00:06.000Z,CP_009,Reset,388.88,27.95,33.9,68.5,10.63,36.69,50.8,422.47,8.74,16.9,33.59,0,local,normal,none,0
2025-01-01T23:08:06.000Z,CP_001,UpdateFirmware,410.5,25.79,26.7,58.2,10.77,33.11,47.0,437.69,7.32,20.3,27.19,0,local,normal,none,0
2025-01-07T00:30:23.000Z,CP_004,ChangeConfiguration,483.41,89.08,88.0,17.1,43.06,32.0,55.0,440.0,-57.08,-33.0,-43.41,1,manipulated,combined_attack,critical,1
2025-01-09T05:49:08.000Z,CP_003,RemoteStartTransaction,472.15,183.84,61.4,86.9,86.8,32.0,55.0,440.0,-151.84,-6.4,-32.15,1,manipulated,combined_attack,critical,1
2025-01-01T02:27:46.000Z,CP_014,UpdateFirmware,404.1,29.16,33.6,37.3,8.57,40.77,48.2,436.15,11.61,14.6,32.05,0,local,normal,none,0
2025-01-02T07:47:33.000Z,CP_004,ChangeConfiguration,393.11,25.32,40.6,40.7,8.83,37.44,63.0,414.75,12.12,22.4,21.64,1,csms,normal,none,0
