record_id,timestamp,charge_point_id,sensor_reading,expected_reading,deviation_percent,actuator_state,actuator_command,actuator_response_time_ms,scada_latency_ms,packet_loss_percent,protocol,command_type,command_frequency,power_reading_kw,current_reading_a,temperature_c,digital_value,physical_value,data_consistency,anomaly_score,attack_type,attack_subtype,label
18,2026-01-01 16:35:00,CP-006,222.15,222.15,6.15,unknown,reset_device,424.31,213.78,5.97,iec61850,write_register,85,14.27,62.04,23.36,222.15,223.21,1.06,0.8756,scada_attack,protocol_manipulation,1
19,2026-01-01 10:22:00,CP-011,235.56,234.15,0.6,on,none,20.95,9.41,0.98,ocpp,stop_charging,2,17.87,77.7,23.09,235.56,235.61,0.05,0.1751,none,none,0
20,2026-01-01 14:59:00,CP-018,14.45,230.94,93.74,on,write_register,26.4,55.76,1.86,ocpp,reset_device,61,1.11,4.83,25.02,14.45,230.94,216.49,0.6415,false_data_injection,register_injection,1
21,2026-01-01 13:52:00,CP-008,49.18,234.35,79.01,transitioning,write_register,32.08,13.68,0.57,modbus,write_register,86,0.91,3.96,27.27,49.18,234.35,185.17,0.6976,false_data_injection,state_injection,1
22,2026-01-01 14:35:00,CP-007,193.26,234.23,17.49,off,none,31.31,22.85,0.92,modbus,update_firmware,57,1.84,8.0,53.98,193.26,191.5,1.76,0.6899,sensor_spoofing,voltage_spoof,1
23,2026-01-01 08:25:00,CP-016,230.27,231.17,0.39,off,none,19.28,7.73,0.02,iec61850,set_power_limit,2,8.09,35.17,36.21,230.27,231.05,0.78,0.0234,none,none,0
24,2026-01-01 13:56:00,CP-006,13.78,235.21,94.14,fault,write_register,23.7,70.26,2.47,ocpp,update_firmware,33,2.29,9.96,27.46,13.78,235.21,221.43,0.8007,false_data_injection,register_injection,1
25,2026-01-01 03:27:00,CP-019,222.18,220.6,0.72,off,none,28.64,23.29,0.54,ocpp,stop_charging,5,11.8,51.3,41.31,222.18,221.36,0.82,0.1615,none,none,0
26,2026-01-01 01:03:00,CP-003,237.04,238.45,0.59,off,none,48.17,33.21,0.89,dnp3,set_power_limit,1,14.73,64.04,25.87,237.04,237.41,0.37,0.0575,none,none,0
27,2026-01-01 15:54:00,CP-003,41.03,229.72,82.14,off,write_register,40.9,9.17,0.55,iec61850,update_firmware,94,2.54,11.04,28.01,41.03,229.72,188.69,0.7779,false_data_injection,measurement_injection,1
28,2026-01-01 03:20:00,CP-009,235.47,237.05,0.67,on,none,19.14,27.9,0.04,modbus,write_register,1,11.96,52.0,29.57,235.47,234.77,0.7,0.1862,none,none,0
29,2026-01-01 03:05:00,CP-005,224.99,225.84,0.38,on,none,40.46,35.43,0.49,iec61850,stop_charging,7,11.59,50.39,35.84,224.99,225.75,0.76,0.0186,none,none,0
30,2026-01-01 04:22:00,CP-012,234.32,232.78,0.66,on,none,10.09,20.98,0.63,iec61850,set_power_limit,9,10.1,43.91,22.66,234.32,235.11,0.79,0.0985,none,none,0
31,2026-01-01 15:50:00,CP-020,140.0,233.58,40.06,unknown,override,606.94,363.12,25.96,modbus,stop_charging,95,40.51,176.13,32.29,140.0,282.72,142.72,0.7961,combined_attack,sensor_plus_actuator,1
32,2026-01-01 00:24:00,CP-008,237.29,239.19,0.79,on,none,45.26,6.12,0.74,iec61850,stop_charging,4,8.07,35.09,39.68,237.29,236.51,0.78,0.1744,none,none,0
33,2026-01-01 06:50:00,CP-003,237.7,237.45,0.11,on,none,15.6,13.69,0.72,ocpp,stop_charging,7,4.2,18.26,33.51,237.7,237.32,0.38,0.1068,none,none,0
34,2026-01-01 08:06:00,CP-014,234.72,233.74,0.42,on,none,32.28,7.35,0.93,dnp3,start_charging,10,20.85,90.65,44.18,234.72,234.92,0.2,0.1496,none,none,0
35,2026-01-01 11:22:00,CP-014,225.26,226.15,0.39,off,none,47.73,43.58,0.63,modbus,read_register,4,17.17,74.65,24.69,225.26,225.65,0.39,0.1549,none,none,0
36,2026-01-01 11:23:00,CP-020,227.55,226.94,0.27,on,none,48.87,30.96,0.01,iec61850,read_register,5,20.04,87.13,32.55,227.55,228.29,0.74,0.1399,none,none,0
37,2026-01-01 13:16:00,CP-006,232.76,232.76,0.0,on,none,22.31,35.64,0.94,ocpp,reset_device,36,0.93,4.04,33.28,232.76,230.63,2.13,0.7116,sensor_spoofing,current_spoof,1
38,2026-01-01 12:46:00,CP-006,195.98,239.2,18.07,off,none,18.13,47.38,0.57,dnp3,set_power_limit,36,2.49,10.83,30.32,195.98,192.08,3.9,0.8825,sensor_spoofing,voltage_spoof,1
39,2026-01-01 08:35:00,CP-005,238.05,236.28,0.75,off,none,26.77,44.86,0.7,iec61850,start_charging,6,3.15,13.7,26.99,238.05,238.11,0.06,0.1841,none,none,0
40,2026-01-01 10:25:00,CP-012,234.15,233.15,0.43,off,none,38.27,13.24,0.99,dnp3,set_power_limit,5,8.24,35.83,30.69,234.15,235.03,0.88,0.1763,none,none,0
41,2026-01-01 05:20:00,CP-011,237.28,237.15,0.05,off,none,31.94,11.08,0.95,ocpp,set_power_limit,10,11.67,50.74,38.72,237.28,238.03,0.75,0.087,none,none,0
42,2026-01-01 07:30:00,CP-014,233.82,234.96,0.49,on,none,10.75,26.79,0.43,ocpp,read_register,1,18.07,78.57,32.84,233.82,232.94,0.88,0.0238,none,none,0
43,2026-01-01 05:02:00,CP-006,232.81,232.57,0.1,on,none,44.02,46.88,0.52,ocpp,read_register,10,12.7,55.22,37.46,232.81,233.04,0.23,0.1348,none,none,0
44,2026-01-01 05:47:00,CP-009,235.54,234.83,0.3,on,none,14.5,23.61,0.37,ocpp,start_charging,6,14.28,62.09,20.61,235.54,235.15,0.39,0.1975,none,none,0
45,2026-01-01 02:26:00,CP-004,220.64,221.28,0.29,on,none,19.63,8.03,0.59,dnp3,set_power_limit,1,7.65,33.26,21.11,220.64,220.52,0.12,0.108,none,none,0
46,2026-01-01 01:11:00,CP-013,239.35,240.57,0.51,off,none,13.61,22.76,0.26,modbus,stop_charging,6,15.78,68.61,36.81,239.35,239.52,0.17,0.1645,none,none,0
47,2026-01-01 00:57:00,CP-015,235.2,234.01,0.51,on,none,47.11,24.72,0.7,modbus,read_register,10,18.19,79.09,37.74,235.2,234.82,0.38,0.0027,none,none,0
48,2026-01-01 04:53:00,CP-020,239.38,239.93,0.23,off,none,47.89,14.75,0.61,dnp3,stop_charging,3,7.17,31.17,30.27,239.38,238.67,0.71,0.1165,none,none,0
49,2026-01-01 02:34:00,CP-019,231.58,231.25,0.14,on,none,17.85,15.35,0.57,ocpp,stop_charging,9,15.44,67.13,37.12,231.58,231.09,0.49,0.1643,none,none,0
50,2026-01-01 12:55:00,CP-018,224.59,224.59,9.11,transitioning,update_firmware,147.03,393.33,19.1,modbus,update_firmware,22,18.22,79.22,46.43,224.59,224.86,0.27,0.8006,scada_attack,replay_attack,1
51,2026-01-01 10:41:00,CP-011,227.21,228.45,0.54,off,none,19.53,17.42,0.58,modbus,read_register,3,14.96,65.04,35.05,227.21,226.29,0.92,0.1937,none,none,0
52,2026-01-01 13:30:00,CP-002,220.8,220.8,4.6,on,inject_command,358.87,200.93,10.06,iec61850,update_firmware,23,19.49,84.74,39.0,220.8,217.59,3.21,0.7428,scada_attack,protocol_manipulation,1
53,2026-01-01 10:06:00,CP-020,231.82,230.25,0.68,on,none,31.53,25.73,0.14,iec61850,write_register,8,15.92,69.22,23.69,231.82,231.39,0.43,0.1494,none,none,0
54,2026-01-01 12:20:00,CP-013,146.62,230.92,36.51,unknown,bypass,335.97,302.12,15.22,iec61850,update_firmware,27,28.48,123.83,39.15,146.62,272.94,126.32,0.9697,combined_attack,sensor_plus_actuator,1
55,2026-01-01 10:36:00,CP-011,228.59,228.98,0.17,on,none,27.37,18.03,0.49,dnp3,write_register,10,5.9,25.65,32.78,228.59,228.09,0.5,0.1533,none,none,0
56,2026-01-01 12:44:00,CP-002,167.53,237.95,29.59,unknown,inject_command,687.36,293.36,13.57,ocpp,read_register,46,35.76,155.48,29.74,167.53,284.34,116.81,0.7257,combined_attack,multi_vector,1
57,2026-01-01 12:14:00,CP-017,176.42,222.59,20.74,unknown,bypass,1040.97,331.7,10.9,ocpp,write_register,32,41.63,181.0,37.48,176.42,262.97,86.55,0.7295,combined_attack,fdi_plus_scada,1
58,2026-01-01 12:40:00,CP-017,17.92,229.88,92.2,off,write_register,45.06,6.47,0.36,iec61850,update_firmware,90,2.13,9.26,36.45,17.92,229.88,211.96,0.6404,false_data_injection,state_injection,1
59,2026-01-01 11:51:00,CP-010,108.57,222.04,51.1,fault,override,319.91,357.38,15.34,dnp3,reset_device,87,36.32,157.91,29.3,108.57,269.85,161.28,0.6336,combined_attack,multi_vector,1
60,2026-01-01 06:19:00,CP-010,220.45,221.48,0.47,on,none,22.84,13.66,0.28,iec61850,stop_charging,2,8.18,35.57,23.94,220.45,219.68,0.77,0.1917,none,none,0
61,2026-01-01 08:46:00,CP-015,234.72,235.3,0.25,on,none,38.29,30.74,0.8,iec61850,set_power_limit,2,15.23,66.22,22.13,234.72,235.63,0.91,0.1084,none,none,0
62,2026-01-01 14:19:00,CP-019,239.85,239.85,2.63,fault,reset_device,385.23,362.18,12.72,iec61850,start_charging,43,11.61,50.48,28.93,239.85,242.92,3.07,0.7949,scada_attack,protocol_manipulation,1
63,2026-01-01 12:15:00,CP-008,45.7,238.0,80.8,fault,write_register,46.9,10.88,0.75,modbus,update_firmware,29,1.32,5.74,33.1,45.7,238.0,192.3,0.8525,false_data_injection,register_injection,1
64,2026-01-01 02:41:00,CP-003,233.69,232.81,0.38,on,none,17.17,43.27,0.02,ocpp,set_power_limit,3,17.29,75.17,37.82,233.69,233.49,0.2,0.0154,none,none,0
65,2026-01-01 04:09:00,CP-008,234.54,233.06,0.64,on,none,33.59,12.6,0.37,modbus,stop_charging,5,17.65,76.74,35.58,234.54,234.73,0.19,0.0096,none,none,0
66,2026-01-01 15:26:00,CP-016,226.82,226.82,3.49,fault,bypass,825.28,30.75,1.82,ocpp,update_firmware,51,18.08,78.61,37.1,226.82,226.52,0.3,0.6078,actuator_manipulation,charger_manipulation,1
67,2026-01-01 06:06:00,CP-015,228.2,226.52,0.74,on,none,19.79,29.63,0.62,ocpp,read_register,3,5.82,25.3,36.33,228.2,227.27,0.93,0.1708,none,none,0
68,2026-01-01 05:26:00,CP-012,229.27,230.44,0.51,off,none,13.21,38.78,0.15,iec61850,stop_charging,2,13.32,57.91,24.54,229.27,230.06,0.79,0.05,none,none,0
69,2026-01-01 13:21:00,CP-013,225.05,225.05,3.38,fault,update_firmware,68.06,471.6,8.51,modbus,stop_charging,74,10.09,43.87,47.09,225.05,229.59,4.54,0.7603,scada_attack,command_injection,1
70,2026-01-01 09:05:00,CP-004,232.51,232.83,0.14,on,none,48.98,46.25,0.38,modbus,write_register,1,20.46,88.96,31.05,232.51,232.11,0.4,0.1252,none,none,0
71,2026-01-01 12:56:00,CP-016,225.66,225.66,0.0,on,none,11.35,38.75,0.81,dnp3,reset_device,71,0.39,1.7,45.92,225.66,223.36,2.3,0.634,sensor_spoofing,current_spoof,1
72,2026-01-01 07:14:00,CP-010,229.12,227.79,0.58,on,none,38.47,17.84,0.97,ocpp,write_register,4,5.22,22.7,44.84,229.12,229.27,0.15,0.0882,none,none,0
73,2026-01-01 06:08:00,CP-012,238.63,237.0,0.69,off,none,22.91,45.39,0.82,dnp3,set_power_limit,2,8.56,37.22,23.36,238.63,239.02,0.39,0.0549,none,none,0
74,2026-01-01 14:01:00,CP-009,151.17,227.5,33.55,unknown,bypass,743.34,565.62,12.22,ocpp,reset_device,29,33.11,143.96,47.13,151.17,259.91,108.74,0.6607,combined_attack,multi_vector,1
75,2026-01-01 10:32:00,CP-014,229.84,228.18,0.73,on,none,26.43,46.09,0.01,iec61850,write_register,8,10.51,45.7,27.48,229.84,229.7,0.14,0.0364,none,none,0
76,2026-01-01 10:50:00,CP-013,223.11,222.04,0.48,off,none,24.75,45.6,0.09,ocpp,stop_charging,3,18.5,80.43,24.4,223.11,223.25,0.14,0.1887,none,none,0
77,2026-01-01 08:42:00,CP-017,237.27,235.74,0.65,on,none,28.22,6.47,0.16,iec61850,read_register,10,19.19,83.43,22.76,237.27,237.01,0.26,0.0579,none,none,0
78,2026-01-01 02:13:00,CP-009,222.75,223.21,0.21,on,none,19.7,35.14,0.53,ocpp,read_register,2,10.85,47.17,37.93,222.75,221.95,0.8,0.1542,none,none,0
79,2026-01-01 06:23:00,CP-016,224.63,223.53,0.49,off,none,46.51,22.64,0.7,iec61850,start_charging,8,12.26,53.3,21.63,224.63,223.86,0.77,0.0957,none,none,0
80,2026-01-01 05:09:00,CP-016,232.28,233.34,0.45,on,none,43.92,21.7,0.32,iec61850,stop_charging,3,21.7,94.35,42.9,232.28,231.84,0.44,0.0444,none,none,0
81,2026-01-01 14:49:00,CP-019,283.0,233.27,21.32,on,none,21.3,11.1,0.76,iec61850,reset_device,74,1.21,5.26,33.2,283.0,282.9,0.1,0.7965,sensor_spoofing,voltage_spoof,1
82,2026-01-01 05:44:00,CP-020,238.57,239.11,0.23,off,none,12.17,28.6,0.32,ocpp,start_charging,9,16.26,70.7,23.83,238.57,238.92,0.35,0.1995,none,none,0
83,2026-01-01 09:32:00,CP-007,238.17,237.82,0.15,on,none,49.81,8.44,0.11,iec61850,stop_charging,8,6.13,26.65,25.18,238.17,237.26,0.91,0.0053,none,none,0
84,2026-01-01 06:30:00,CP-013,228.12,227.86,0.11,on,none,36.5,26.37,0.19,dnp3,start_charging,7,5.93,25.78,44.94,228.12,228.46,0.34,0.0269,none,none,0
85,2026-01-01 01:05:00,CP-005,224.88,224.53,0.16,on,none,16.8,8.55,0.87,ocpp,stop_charging,10,5.72,24.87,31.53,224.88,224.39,0.49,0.0511,none,none,0
86,2026-01-01 09:58:00,CP-012,237.46,238.69,0.52,on,none,28.28,36.42,0.73,ocpp,read_register,10,5.33,23.17,33.27,237.46,238.36,0.9,0.1503,none,none,0
87,2026-01-01 08:56:00,CP-011,220.32,221.09,0.35,on,none,34.35,5.19,0.01,ocpp,stop_charging,9,20.01,87.0,37.58,220.32,220.84,0.52,0.1076,none,none,0
88,2026-01-01 13:35:00,CP-014,49.04,225.34,78.24,transitioning,write_register,13.89,26.36,2.13,ocpp,read_register,98,0.86,3.74,44.92,49.04,225.34,176.3,0.9308,false_data_injection,measurement_injection,1
89,2026-01-01 12:52:00,CP-013,34.04,236.8,85.62,off,write_register,11.16,30.45,0.65,dnp3,read_register,91,2.32,10.09,29.16,34.04,236.8,202.76,0.727,false_data_injection,measurement_injection,1
90,2026-01-01 00:15:00,CP-008,223.33,223.27,0.03,on,none,44.59,45.61,0.16,modbus,stop_charging,5,20.6,89.57,39.63,223.33,222.9,0.43,0.1393,none,none,0
91,2026-01-01 01:12:00,CP-012,222.17,221.11,0.48,on,none,34.78,47.44,0.33,ocpp,read_register,8,20.28,88.17,27.55,222.17,221.99,0.18,0.028,none,none,0
92,2026-01-01 07:46:00,CP-020,225.99,227.87,0.83,on,none,29.88,43.13,0.79,ocpp,start_charging,5,3.9,16.96,44.91,225.99,225.79,0.2,0.0452,none,none,0
93,2026-01-01 07:59:00,CP-004,236.49,237.28,0.33,on,none,24.07,32.1,0.81,iec61850,stop_charging,1,17.48,76.0,36.03,236.49,235.86,0.63,0.0887,none,none,0
94,2026-01-01 05:43:00,CP-004,231.9,231.1,0.35,off,none,13.14,7.52,0.77,iec61850,stop_charging,7,20.67,89.87,23.01,231.9,232.44,0.54,0.1495,none,none,0
95,2026-01-01 05:57:00,CP-009,232.11,232.56,0.19,on,none,19.24,6.17,0.08,dnp3,write_register,9,19.08,82.96,31.72,232.11,232.41,0.3,0.0368,none,none,0
96,2026-01-01 14:36:00,CP-002,11.05,223.1,95.05,off,write_register,43.33,98.41,0.74,ocpp,stop_charging,47,0.44,1.91,30.39,11.05,223.1,212.05,0.9858,false_data_injection,state_injection,1
97,2026-01-01 09:33:00,CP-015,227.62,228.6,0.43,on,none,25.87,5.48,0.11,ocpp,start_charging,8,12.21,53.09,21.71,227.62,227.72,0.1,0.0485,none,none,0
98,2026-01-01 01:32:00,CP-019,221.12,221.15,0.01,off,none,28.47,6.69,0.37,iec61850,read_register,2,14.69,63.87,32.68,221.12,221.05,0.07,0.1109,none,none,0
99,2026-01-01 06:14:00,CP-014,238.56,236.78,0.75,off,none,32.6,35.52,0.56,modbus,write_register,10,16.02,69.65,39.99,238.56,239.34,0.78,0.0707,none,none,0
100,2026-01-01 03:06:00,CP-017,235.0,235.78,0.33,off,none,28.19,26.96,0.58,modbus,stop_charging,6,19.15,83.26,39.89,235.0,234.8,0.2,0.1936,none,none,0
101,2026-01-01 10:43:00,CP-009,237.83,238.87,0.44,off,none,45.8,25.18,0.72,dnp3,read_register,8,10.96,47.65,43.28,237.83,237.84,0.01,0.0044,none,none,0
102,2026-01-01 04:45:00,CP-012,235.5,235.45,0.02,on,none,17.03,32.3,0.84,ocpp,set_power_limit,4,8.0,34.78,42.16,235.5,234.65,0.85,0.0151,none,none,0
103,2026-01-01 00:44:00,CP-016,237.02,235.75,0.54,on,none,24.19,16.63,0.28,iec61850,set_power_limit,1,12.82,55.74,24.78,237.02,236.5,0.52,0.0813,none,none,0
104,2026-01-01 11:48:00,CP-014,222.45,222.45,5.78,fault,update_firmware,194.86,392.35,8.39,iec61850,update_firmware,57,13.02,56.61,44.9,222.45,220.98,1.47,0.9342,scada_attack,replay_attack,1
105,2026-01-01 15:51:00,CP-001,239.26,239.26,0.87,transitioning,inject_command,91.42,198.16,17.46,modbus,stop_charging,68,17.42,75.74,46.22,239.26,236.67,2.59,0.9936,scada_attack,command_injection,1
106,2026-01-01 11:54:00,CP-013,222.03,222.03,8.8,transitioning,update_firmware,142.57,414.29,10.21,iec61850,reset_device,96,16.94,73.65,30.08,222.03,217.06,4.97,0.674,scada_attack,protocol_manipulation,1
107,2026-01-01 11:28:00,CP-010,236.77,237.95,0.5,off,none,36.93,5.19,0.91,modbus,read_register,1,5.91,25.7,29.36,236.77,237.4,0.63,0.164,none,none,0
108,2026-01-01 09:40:00,CP-004,232.0,233.93,0.83,off,none,37.12,48.76,0.69,iec61850,write_register,6,21.58,93.83,36.66,232.0,231.14,0.86,0.0035,none,none,0
109,2026-01-01 09:04:00,CP-019,235.94,237.68,0.73,off,none,19.89,26.31,0.96,modbus,start_charging,9,18.09,78.65,43.59,235.94,236.49,0.55,0.1239,none,none,0
110,2026-01-01 07:17:00,CP-005,235.99,236.9,0.38,off,none,23.55,10.05,0.48,modbus,write_register,9,5.22,22.7,20.62,235.99,236.23,0.24,0.0441,none,none,0
111,2026-01-01 13:53:00,CP-019,221.97,221.97,0.51,on,reset_device,265.23,276.76,12.14,modbus,set_power_limit,95,19.75,85.87,27.52,221.97,221.84,0.13,0.8277,scada_attack,protocol_manipulation,1
112,2026-01-01 10:15:00,CP-018,223.7,224.95,0.56,on,none,25.75,41.79,0.78,dnp3,read_register,9,18.91,82.22,33.47,223.7,224.34,0.64,0.1303,none,none,0
113,2026-01-01 13:36:00,CP-019,231.9,231.9,4.76,unknown,reset_device,204.33,227.86,17.34,ocpp,stop_charging,83,13.29,57.78,27.37,231.9,233.88,1.98,0.8692,scada_attack,replay_attack,1
114,2026-01-01 04:28:00,CP-018,225.72,227.11,0.61,on,none,30.91,6.14,0.15,modbus,write_register,5,17.25,75.0,24.02,225.72,225.29,0.43,0.0501,none,none,0
115,2026-01-01 12:53:00,CP-013,227.97,227.97,2.68,off,update_firmware,336.32,118.25,11.71,ocpp,set_power_limit,41,20.34,88.43,38.76,227.97,230.77,2.8,0.6441,scada_attack,protocol_manipulation,1
116,2026-01-01 03:58:00,CP-001,229.48,228.01,0.64,on,none,34.05,5.38,0.25,iec61850,start_charging,7,20.01,87.0,41.29,229.48,229.4,0.08,0.0436,none,none,0
117,2026-01-01 05:12:00,CP-007,228.38,229.39,0.44,off,none,44.17,17.58,0.18,ocpp,set_power_limit,4,18.47,80.3,38.02,228.38,228.99,0.61,0.1111,none,none,0
118,2026-01-01 14:38:00,CP-009,227.29,227.29,2.35,unknown,update_firmware,84.67,377.28,9.82,ocpp,update_firmware,88,20.58,89.48,40.26,227.29,223.26,4.03,0.967,scada_attack,protocol_manipulation,1
119,2026-01-01 09:39:00,CP-009,233.0,232.48,0.22,on,none,45.42,23.5,0.77,dnp3,read_register,9,18.03,78.39,43.06,233.0,233.14,0.14,0.0504,none,none,0
120,2026-01-01 08:17:00,CP-006,228.68,228.38,0.13,on,none,30.53,48.8,0.68,ocpp,stop_charging,9,14.96,65.04,33.12,228.68,228.26,0.42,0.0875,none,none,0
121,2026-01-01 05:03:00,CP-012,224.79,222.79,0.9,on,none,13.47,17.42,0.4,dnp3,stop_charging,10,6.81,29.61,20.38,224.79,225.2,0.41,0.1838,none,none,0
122,2026-01-01 01:19:00,CP-016,234.25,234.02,0.1,on,none,22.88,11.68,0.13,iec61850,stop_charging,10,13.08,56.87,31.34,234.25,234.46,0.21,0.0198,none,none,0
123,2026-01-01 13:33:00,CP-014,223.68,223.68,7.22,on,update_firmware,484.32,417.46,13.56,iec61850,set_power_limit,85,17.19,74.74,38.87,223.68,226.62,2.94,0.8777,scada_attack,command_injection,1
124,2026-01-01 00:36:00,CP-019,227.61,225.63,0.88,off,none,21.94,22.55,0.89,dnp3,set_power_limit,9,18.2,79.13,42.45,227.61,227.59,0.02,0.0546,none,none,0
125,2026-01-01 06:02:00,CP-003,234.45,232.9,0.67,on,none,25.72,19.56,0.02,dnp3,set_power_limit,4,19.77,85.96,22.25,234.45,234.1,0.35,0.1297,none,none,0
126,2026-01-01 01:45:00,CP-003,230.47,229.91,0.24,on,none,25.62,26.16,0.64,iec61850,start_charging,1,9.78,42.52,21.69,230.47,229.95,0.52,0.1314,none,none,0
127,2026-01-01 13:14:00,CP-002,236.5,236.5,0.0,off,none,13.36,24.95,0.28,ocpp,reset_device,84,1.23,5.35,42.24,236.5,239.92,3.42,0.9764,sensor_spoofing,current_spoof,1
128,2026-01-01 07:52:00,CP-018,223.52,224.93,0.63,off,none,41.29,7.49,0.9,iec61850,set_power_limit,5,19.48,84.7,42.51,223.52,223.33,0.19,0.0727,none,none,0
129,2026-01-01 00:19:00,CP-020,239.97,241.95,0.82,on,none,31.51,27.76,0.13,iec61850,read_register,4,10.02,43.57,23.94,239.97,240.64,0.67,0.1407,none,none,0
130,2026-01-01 16:39:00,CP-002,227.79,227.79,0.0,off,none,36.33,22.89,0.71,iec61850,stop_charging,37,2.45,10.65,109.81,227.79,229.86,2.07,0.8634,sensor_spoofing,temperature_spoof,1
131,2026-01-01 09:28:00,CP-013,223.14,221.58,0.7,off,none,29.13,8.09,0.96,ocpp,write_register,4,8.89,38.65,40.45,223.14,223.47,0.33,0.0318,none,none,0
132,2026-01-01 15:03:00,CP-014,234.67,234.67,3.88,transitioning,update_firmware,196.7,259.55,15.85,ocpp,write_register,47,11.43,49.7,44.94,234.67,235.35,0.68,0.9792,scada_attack,protocol_manipulation,1
133,2026-01-01 02:56:00,CP-013,220.58,221.04,0.21,on,none,27.98,24.33,0.0,ocpp,write_register,5,17.29,75.17,40.22,220.58,219.71,0.87,0.0204,none,none,0
134,2026-01-01 02:32:00,CP-008,233.91,234.73,0.35,off,none,46.61,29.84,0.78,dnp3,stop_charging,9,15.33,66.65,27.71,233.91,233.63,0.28,0.1766,none,none,0
135,2026-01-01 15:56:00,CP-002,231.15,231.15,0.33,unknown,bypass,579.7,27.82,0.49,ocpp,read_register,23,11.02,47.91,25.67,231.15,231.85,0.7,0.8659,actuator_manipulation,breaker_manipulation,1
136,2026-01-01 14:55:00,CP-004,238.04,238.04,0.0,on,none,31.48,12.53,0.74,dnp3,start_charging,88,0.86,3.74,49.94,238.04,235.65,2.39,0.9044,sensor_spoofing,current_spoof,1
137,2026-01-01 09:13:00,CP-007,232.63,234.28,0.7,off,none,11.76,6.34,0.2,ocpp,write_register,5,16.66,72.43,28.5,232.63,232.74,0.11,0.0357,none,none,0
138,2026-01-01 07:57:00,CP-004,230.7,229.65,0.46,off,none,25.54,45.94,0.39,iec61850,start_charging,2,20.79,90.39,38.92,230.7,230.29,0.41,0.1719,none,none,0
