timestamp,charge_point_id,protocol,encryption_type,tls_version,cipher_suite,is_encrypted,cipher_strength,key_size,certificate_status,certificate_days_remaining,handshake_completed,message_integrity_check,session_key_rotation,forward_secrecy,anomaly_type,label
2025-12-04 14:12:08,CP-026,OCPP 2.0,AES-256-GCM,TLS 1.2,ECDHE-RSA-AES256-GCM-SHA384,1,256,384,valid,142,1,1,1,1,none,0
2025-12-04 19:41:08,CP-003,OCPP 2.0.1,NONE,NONE,NONE,0,0,0,valid,125,0,0,1,0,plaintext_communication,1
2025-12-04 11:03:08,CP-006,CAN-BUS,AES-256-GCM,TLS 1.2,TLS_AES_128_GCM_SHA256,1,256,256,valid,279,1,1,1,1,none,0
2025-12-04 14:18:08,CP-040,CAN-BUS,ChaCha20-Poly1305,TLS 1.2,ECDHE-RSA-AES128-GCM-SHA256,1,384,256,verified,357,1,1,1,1,none,0
2025-12-04 06:22:08,CP-023,OCPP 2.0.1,ChaCha20-Poly1305,TLS 1.2,TLS_AES_256_GCM_SHA384,1,384,521,verified,357,1,1,1,1,none,0
2025-12-04 18:36:08,CP-040,OCPP 2.0,AES-128-GCM,TLS 1.3,ECDHE-RSA-AES128-GCM-SHA256,1,256,128,valid,108,1,1,0,0,key_management_issue,1
2025-12-04 19:42:08,CP-030,OCPP 2.0,NONE,NONE,NONE,0,0,0,valid,43,0,0,1,0,plaintext_communication,1
2025-12-04 19:26:08,CP-027,OCPP 1.6,AES-256-GCM,TLS 1.3,TLS_CHACHA20_POLY1305_SHA256,1,256,128,valid,92,1,1,0,0,key_management_issue,1
2025-12-04 15:57:08,CP-040,OCPP 1.6,AES-256-GCM,TLS 1.3,TLS_CHACHA20_POLY1305_SHA256,1,256,128,valid,292,1,1,0,0,key_management_issue,1
2025-12-04 08:28:08,CP-004,CAN-BUS,AES-256-GCM,TLS 1.2,TLS_CHACHA20_POLY1305_SHA256,1,384,384,verified,255,1,1,1,1,none,0
2025-12-04 10:19:08,CP-002,OCPP 1.6,AES-128-GCM,TLS 1.3,TLS_AES_256_GCM_SHA384,1,256,256,valid,329,1,1,1,1,none,0
2025-12-04 03:49:08,CP-018,OCPP 1.6,AES-128-GCM,TLS 1.3,TLS_AES_128_GCM_SHA256,1,384,256,verified,275,1,1,1,1,none,0
2025-12-04 04:00:08,CP-036,OCPP 1.6,AES-128-GCM,TLS 1.2,TLS_CHACHA20_POLY1305_SHA256,1,384,256,verified,31,1,1,1,1,none,0
2025-12-04 12:44:08,CP-023,CAN-BUS,AES-256-GCM,TLS 1.2,ECDHE-RSA-AES256-GCM-SHA384,1,384,521,verified,47,1,1,1,1,none,0
2025-12-04 17:23:08,CP-034,OCPP 2.0,ChaCha20-Poly1305,TLS 1.3,TLS_AES_256_GCM_SHA384,1,256,256,invalid_chain,270,1,0,1,1,man_in_the_middle,1
2025-12-04 09:34:08,CP-002,OCPP 2.0,AES-256-GCM,TLS 1.2,TLS_CHACHA20_POLY1305_SHA256,1,384,521,valid,335,1,1,1,1,none,0
2025-12-04 15:16:08,CP-004,OCPP 2.0.1,NULL,SSL 3.0,NULL,1,56,256,valid,275,1,1,1,0,downgrade_attack,1
2025-12-04 16:07:08,CP-004,OCPP 2.0.1,MD5,TLS 1.1,TLS_RSA_WITH_RC4_128_SHA,1,40,56,valid,112,1,1,1,0,weak_cipher,1
2025-12-04 05:06:08,CP-002,ISO 15118,AES-128-GCM,TLS 1.2,ECDHE-RSA-AES128-GCM-SHA256,1,256,521,verified,318,1,1,1,1,none,0
2025-12-04 06:24:08,CP-026,OCPP 2.0.1,AES-128-GCM,TLS 1.2,TLS_CHACHA20_POLY1305_SHA256,1,256,521,verified,282,1,1,1,1,none,0
2025-12-04 03:31:08,CP-026,CAN-BUS,AES-128-GCM,TLS 1.3,TLS_AES_256_GCM_SHA384,1,384,521,valid,309,1,1,1,1,none,0
2025-12-04 05:04:08,CP-019,CAN-BUS,ChaCha20-Poly1305,TLS 1.3,TLS_CHACHA20_POLY1305_SHA256,1,256,256,verified,344,1,1,1,1,none,0
2025-12-04 18:41:08,CP-047,ISO 15118,RC4,SSL 3.0,TLS_RSA_WITH_NULL_SHA,1,56,256,valid,305,1,1,1,0,ssl_tls_vulnerability,1
2025-12-04 14:47:08,CP-007,ISO 15118,AES-128-GCM,TLS 1.2,TLS_CHACHA20_POLY1305_SHA256,1,384,256,valid,296,1,1,1,1,none,0
2025-12-04 15:01:08,CP-041,ISO 15118,AES-128-GCM,TLS 1.2,ECDHE-RSA-AES256-GCM-SHA384,1,256,256,verified,278,1,1,1,1,none,0
2025-12-04 10:25:08,CP-027,CAN-BUS,ChaCha20-Poly1305,TLS 1.3,TLS_AES_256_GCM_SHA384,1,384,384,verified,215,1,1,1,1,none,0
2025-12-04 11:10:08,CP-013,OCPP 2.0.1,AES-256-GCM,TLS 1.3,TLS_AES_128_GCM_SHA256,1,384,384,valid,298,1,1,1,1,none,0
2025-12-04 09:33:08,CP-026,CAN-BUS,AES-128-GCM,TLS 1.2,TLS_AES_128_GCM_SHA256,1,256,384,verified,85,1,1,1,1,none,0
2025-12-04 18:47:08,CP-049,OCPP 2.0.1,AES-256-GCM,TLS 1.3,TLS_AES_128_GCM_SHA256,1,256,128,valid,78,1,1,0,0,key_management_issue,1
2025-12-04 05:53:08,CP-025,OCPP 2.0.1,AES-256-GCM,TLS 1.2,TLS_CHACHA20_POLY1305_SHA256,1,384,256,verified,62,1,1,1,1,none,0
2025-12-04 11:34:08,CP-028,ISO 15118,AES-256-GCM,TLS 1.3,ECDHE-RSA-AES256-GCM-SHA384,1,384,256,verified,223,1,1,1,1,none,0
2025-12-04 06:37:08,CP-014,OCPP 1.6,AES-128-GCM,TLS 1.2,ECDHE-RSA-AES128-GCM-SHA256,1,384,256,valid,87,1,1,1,1,none,0
2025-12-04 04:33:08,CP-049,CAN-BUS,ChaCha20-Poly1305,TLS 1.3,TLS_AES_128_GCM_SHA256,1,384,256,verified,264,1,1,1,1,none,0
2025-12-04 08:06:08,CP-050,OCPP 2.0,ChaCha20-Poly1305,TLS 1.3,TLS_AES_256_GCM_SHA384,1,256,256,verified,244,1,1,1,1,none,0
2025-12-04 16:30:08,CP-048,OCPP 1.6,AES-128-GCM,TLS 1.3,TLS_AES_256_GCM_SHA384,1,256,128,valid,111,1,1,0,0,key_management_issue,1
2025-12-04 16:24:08,CP-011,OCPP 1.6,AES-128-GCM,TLS 1.2,TLS_AES_256_GCM_SHA384,1,256,256,invalid_chain,-1,1,1,1,1,certificate_error,1
2025-12-04 19:40:08,CP-048,OCPP 1.6,AES-128-GCM,TLS 1.2,ECDHE-RSA-AES256-GCM-SHA384,0,256,256,valid,123,1,0,1,1,encryption_bypass,1
2025-12-04 07:24:08,CP-025,CAN-BUS,AES-128-GCM,TLS 1.2,ECDHE-RSA-AES128-GCM-SHA256,1,256,256,valid,324,1,1,1,1,none,0
2025-12-04 04:13:08,CP-020,ISO 15118,AES-256-GCM,TLS 1.2,TLS_AES_256_GCM_SHA384,1,384,521,verified,174,1,1,1,1,none,0
2025-12-04 08:56:08,CP-018,OCPP 1.6,ChaCha20-Poly1305,TLS 1.2,ECDHE-RSA-AES128-GCM-SHA256,1,384,384,valid,230,1,1,1,1,none,0
2025-12-04 12:38:08,CP-007,OCPP 2.0.1,AES-256-GCM,TLS 1.3,TLS_AES_256_GCM_SHA384,1,384,256,valid,51,1,1,1,1,none,0
2025-12-04 06:43:08,CP-017,OCPP 2.0.1,AES-256-GCM,TLS 1.2,ECDHE-RSA-AES128-GCM-SHA256,1,256,521,valid,174,1,1,1,1,none,0
2025-12-04 18:25:08,CP-037,OCPP 2.0.1,3DES,TLS 1.1,TLS_RSA_WITH_RC4_128_SHA,1,112,256,valid,184,1,1,1,0,ssl_tls_vulnerability,1
2025-12-04 05:29:08,CP-050,ISO 15118,ChaCha20-Poly1305,TLS 1.3,TLS_AES_256_GCM_SHA384,1,256,256,valid,127,1,1,1,1,none,0
2025-12-04 15:46:08,CP-025,CAN-BUS,DES,SSL 3.0,TLS_RSA_EXPORT_WITH_RC4_40_MD5,1,56,256,valid,301,1,1,1,0,ssl_tls_vulnerability,1
2025-12-04 16:57:08,CP-019,OCPP 2.0.1,3DES,SSL 3.0,TLS_RSA_EXPORT_WITH_RC4_40_MD5,1,112,256,valid,343,1,1,1,0,downgrade_attack,1
2025-12-04 17:50:08,CP-012,OCPP 1.6,DES,SSL 3.0,TLS_RSA_WITH_NULL_SHA,1,128,256,valid,243,1,1,1,0,ssl_tls_vulnerability,1
2025-12-04 05:20:08,CP-050,CAN-BUS,AES-128-GCM,TLS 1.2,ECDHE-RSA-AES256-GCM-SHA384,1,256,256,verified,231,1,1,1,1,none,0
2025-12-04 07:58:08,CP-026,CAN-BUS,AES-256-GCM,TLS 1.3,TLS_AES_256_GCM_SHA384,1,384,384,valid,124,1,1,1,1,none,0
2025-12-04 09:56:08,CP-005,ISO 15118,AES-128-GCM,TLS 1.3,TLS_CHACHA20_POLY1305_SHA256,1,256,256,verified,155,1,1,1,1,none,0
2025-12-04 03:45:08,CP-017,ISO 15118,ChaCha20-Poly1305,TLS 1.2,TLS_AES_128_GCM_SHA256,1,256,521,verified,121,1,1,1,1,none,0
2025-12-04 12:54:08,CP-024,OCPP 2.0,ChaCha20-Poly1305,TLS 1.3,TLS_AES_128_GCM_SHA256,1,256,256,verified,253,1,1,1,1,none,0
2025-12-04 19:55:08,CP-036,OCPP 2.0,AES-128-GCM,TLS 1.2,TLS_AES_256_GCM_SHA384,1,256,64,valid,104,1,1,0,0,key_management_issue,1
2025-12-04 15:07:08,CP-022,OCPP 2.0.1,NONE,NONE,NONE,0,0,0,valid,318,0,0,1,0,plaintext_communication,1
2025-12-04 06:47:08,CP-001,ISO 15118,AES-256-GCM,TLS 1.3,TLS_AES_256_GCM_SHA384,1,384,384,valid,112,1,1,1,1,none,0
2025-12-04 16:17:08,CP-043,OCPP 1.6,NULL,TLS 1.0,NULL,1,40,56,valid,268,1,1,1,0,weak_cipher,1
2025-12-04 05:36:08,CP-046,OCPP 2.0.1,AES-256-GCM,TLS 1.2,TLS_AES_256_GCM_SHA384,1,256,256,verified,39,1,1,1,1,none,0
2025-12-04 04:25:08,CP-050,OCPP 1.6,ChaCha20-Poly1305,TLS 1.3,TLS_CHACHA20_POLY1305_SHA256,1,384,256,valid,312,1,1,1,1,none,0
2025-12-04 18:57:08,CP-037,OCPP 2.0,ChaCha20-Poly1305,TLS 1.2,TLS_AES_256_GCM_SHA384,1,256,256,not_trusted,234,1,0,1,1,man_in_the_middle,1
2025-12-04 11:23:08,CP-037,CAN-BUS,AES-128-GCM,TLS 1.3,ECDHE-RSA-AES256-GCM-SHA384,1,256,521,valid,201,1,1,1,1,none,0
2025-12-04 17:24:08,CP-022,OCPP 2.0.1,3DES,SSL 2.0,TLS_RSA_WITH_RC4_128_SHA,1,112,256,valid,248,1,1,1,0,downgrade_attack,1
2025-12-04 14:00:08,CP-038,OCPP 1.6,ChaCha20-Poly1305,TLS 1.3,TLS_CHACHA20_POLY1305_SHA256,1,256,521,verified,243,1,1,1,1,none,0
2025-12-04 09:05:08,CP-039,OCPP 2.0.1,AES-128-GCM,TLS 1.3,TLS_CHACHA20_POLY1305_SHA256,1,256,521,valid,200,1,1,1,1,none,0
2025-12-04 15:09:08,CP-048,OCPP 2.0,MD5,TLS 1.0,TLS_RSA_WITH_NULL_SHA,1,56,256,valid,47,1,1,1,0,downgrade_attack,1
2025-12-04 04:54:08,CP-013,OCPP 2.0,ChaCha20-Poly1305,TLS 1.3,TLS_CHACHA20_POLY1305_SHA256,1,256,384,verified,310,1,1,1,1,none,0
2025-12-04 18:13:08,CP-021,ISO 15118,SHA1,TLS 1.1,TLS_RSA_EXPORT_WITH_RC4_40_MD5,1,40,128,valid,337,1,1,1,0,weak_cipher,1
2025-12-04 15:20:08,CP-035,OCPP 2.0,AES-128-GCM,TLS 1.3,TLS_CHACHA20_POLY1305_SHA256,0,256,256,valid,275,1,0,1,1,encryption_bypass,1
2025-12-04 12:46:08,CP-045,CAN-BUS,ChaCha20-Poly1305,TLS 1.2,ECDHE-RSA-AES256-GCM-SHA384,1,256,521,valid,330,1,1,1,1,none,0
2025-12-04 03:32:08,CP-048,CAN-BUS,ChaCha20-Poly1305,TLS 1.2,TLS_CHACHA20_POLY1305_SHA256,1,384,521,valid,146,1,1,1,1,none,0
2025-12-04 13:39:08,CP-041,ISO 15118,AES-256-GCM,TLS 1.3,TLS_CHACHA20_POLY1305_SHA256,1,384,521,verified,355,1,1,1,1,none,0
2025-12-04 03:43:08,CP-043,CAN-BUS,ChaCha20-Poly1305,TLS 1.3,TLS_AES_128_GCM_SHA256,1,256,521,valid,164,1,1,1,1,none,0
2025-12-04 06:58:08,CP-001,ISO 15118,AES-128-GCM,TLS 1.2,TLS_AES_256_GCM_SHA384,1,384,521,verified,151,1,1,1,1,none,0
2025-12-04 16:31:08,CP-014,ISO 15118,AES-128-GCM,TLS 1.2,TLS_AES_128_GCM_SHA256,1,256,256,revoked,-30,1,1,1,1,certificate_error,1
2025-12-04 14:26:08,CP-018,OCPP 2.0,ChaCha20-Poly1305,TLS 1.3,TLS_CHACHA20_POLY1305_SHA256,1,256,521,valid,303,1,1,1,1,none,0
2025-12-04 18:50:08,CP-049,OCPP 2.0,ChaCha20-Poly1305,TLS 1.2,TLS_CHACHA20_POLY1305_SHA256,1,256,64,valid,89,1,1,0,0,key_management_issue,1
2025-12-04 11:16:08,CP-018,CAN-BUS,ChaCha20-Poly1305,TLS 1.3,TLS_CHACHA20_POLY1305_SHA256,1,384,256,verified,331,1,1,1,1,none,0
2025-12-04 12:42:08,CP-024,OCPP 2.0.1,AES-256-GCM,TLS 1.2,TLS_CHACHA20_POLY1305_SHA256,1,256,384,verified,52,1,1,1,1,none,0
2025-12-04 19:09:08,CP-047,OCPP 1.6,DES,SSL 2.0,TLS_RSA_WITH_NULL_SHA,1,128,256,valid,277,1,1,1,0,ssl_tls_vulnerability,1
2025-12-04 13:08:08,CP-017,OCPP 2.0.1,AES-128-GCM,TLS 1.3,TLS_AES_128_GCM_SHA256,1,256,521,valid,48,1,1,1,1,none,0
2025-12-04 16:49:08,CP-005,OCPP 2.0,NULL,TLS 1.1,NONE,1,112,40,valid,51,1,1,1,0,weak_cipher,1
2025-12-04 17:26:08,CP-001,OCPP 2.0.1,NONE,TLS 1.1,NULL,1,40,128,valid,96,1,1,1,0,weak_cipher,1
2025-12-04 04:18:08,CP-024,OCPP 1.6,AES-256-GCM,TLS 1.3,TLS_CHACHA20_POLY1305_SHA256,1,384,384,valid,362,1,1,1,1,none,0
2025-12-04 15:13:08,CP-040,ISO 15118,NONE,NONE,NONE,0,0,0,valid,353,0,0,1,0,plaintext_communication,1
2025-12-04 12:17:08,CP-046,OCPP 2.0.1,ChaCha20-Poly1305,TLS 1.3,TLS_AES_256_GCM_SHA384,1,256,384,verified,192,1,1,1,1,none,0
2025-12-04 12:53:08,CP-023,OCPP 1.6,ChaCha20-Poly1305,TLS 1.3,TLS_CHACHA20_POLY1305_SHA256,1,384,256,valid,193,1,1,1,1,none,0
2025-12-04 10:30:08,CP-046,OCPP 2.0,AES-128-GCM,TLS 1.2,TLS_CHACHA20_POLY1305_SHA256,1,384,256,valid,330,1,1,1,1,none,0
2025-12-04 15:10:08,CP-030,ISO 15118,AES-128-GCM,TLS 1.2,TLS_CHACHA20_POLY1305_SHA256,0,256,256,valid,202,1,0,1,1,encryption_bypass,1
2025-12-04 05:19:08,CP-030,CAN-BUS,AES-128-GCM,TLS 1.2,TLS_CHACHA20_POLY1305_SHA256,1,384,256,verified,68,1,1,1,1,none,0
2025-12-04 17:17:08,CP-022,CAN-BUS,AES-128-GCM,TLS 1.2,ECDHE-RSA-AES256-GCM-SHA384,0,256,256,valid,86,0,0,1,1,encryption_bypass,1
2025-12-04 17:49:08,CP-016,OCPP 1.6,ChaCha20-Poly1305,TLS 1.2,TLS_AES_128_GCM_SHA256,0,256,256,valid,185,0,0,1,1,encryption_bypass,1
2025-12-04 14:23:08,CP-050,ISO 15118,AES-128-GCM,TLS 1.3,TLS_CHACHA20_POLY1305_SHA256,1,384,384,verified,347,1,1,1,1,none,0
2025-12-04 04:46:08,CP-030,OCPP 2.0,AES-128-GCM,TLS 1.3,ECDHE-RSA-AES256-GCM-SHA384,1,384,256,valid,202,1,1,1,1,none,0
2025-12-04 17:28:08,CP-010,OCPP 2.0,AES-256-GCM,TLS 1.3,TLS_AES_128_GCM_SHA256,1,256,64,valid,194,1,1,0,0,key_management_issue,1
2025-12-04 12:12:08,CP-033,OCPP 1.6,ChaCha20-Poly1305,TLS 1.3,ECDHE-RSA-AES256-GCM-SHA384,1,256,256,valid,339,1,1,1,1,none,0
2025-12-04 03:38:08,CP-034,ISO 15118,ChaCha20-Poly1305,TLS 1.2,TLS_CHACHA20_POLY1305_SHA256,1,384,256,valid,293,1,1,1,1,none,0
2025-12-04 11:33:08,CP-048,ISO 15118,AES-128-GCM,TLS 1.3,ECDHE-RSA-AES256-GCM-SHA384,1,384,384,verified,244,1,1,1,1,none,0
2025-12-04 13:22:08,CP-046,CAN-BUS,AES-256-GCM,TLS 1.3,TLS_AES_128_GCM_SHA256,1,256,384,valid,344,1,1,1,1,none,0
2025-12-04 10:18:08,CP-007,CAN-BUS,AES-128-GCM,TLS 1.3,TLS_CHACHA20_POLY1305_SHA256,1,384,256,valid,168,1,1,1,1,none,0
2025-12-04 11:58:08,CP-037,OCPP 2.0.1,AES-256-GCM,TLS 1.3,ECDHE-RSA-AES128-GCM-SHA256,1,256,256,verified,362,1,1,1,1,none,0
2025-12-04 14:03:08,CP-024,OCPP 2.0,AES-256-GCM,TLS 1.3,TLS_AES_128_GCM_SHA256,1,256,521,verified,283,1,1,1,1,none,0
2025-12-04 04:53:08,CP-047,ISO 15118,ChaCha20-Poly1305,TLS 1.2,ECDHE-RSA-AES128-GCM-SHA256,1,384,384,verified,347,1,1,1,1,none,0
2025-12-04 13:18:08,CP-033,OCPP 2.0,AES-128-GCM,TLS 1.3,ECDHE-RSA-AES256-GCM-SHA384,1,384,256,verified,279,1,1,1,1,none,0
2025-12-04 08:21:08,CP-014,CAN-BUS,AES-128-GCM,TLS 1.2,TLS_AES_256_GCM_SHA384,1,384,521,valid,139,1,1,1,1,none,0
2025-12-04 08:03:08,CP-050,CAN-BUS,AES-128-GCM,TLS 1.2,TLS_CHACHA20_POLY1305_SHA256,1,384,256,valid,280,1,1,1,1,none,0
2025-12-04 08:48:08,CP-041,ISO 15118,ChaCha20-Poly1305,TLS 1.2,TLS_CHACHA20_POLY1305_SHA256,1,384,384,verified,353,1,1,1,1,none,0
2025-12-04 06:17:08,CP-045,OCPP 1.6,ChaCha20-Poly1305,TLS 1.2,TLS_CHACHA20_POLY1305_SHA256,1,256,384,verified,309,1,1,1,1,none,0
2025-12-04 11:08:08,CP-030,CAN-BUS,AES-256-GCM,TLS 1.2,TLS_CHACHA20_POLY1305_SHA256,1,256,256,valid,88,1,1,1,1,none,0
2025-12-04 17:33:08,CP-039,OCPP 1.6,3DES,SSL 2.0,TLS_RSA_WITH_RC4_128_SHA,1,56,256,valid,306,1,1,1,0,ssl_tls_vulnerability,1
2025-12-04 17:39:08,CP-010,ISO 15118,MD5,SSL 3.0,NULL,1,112,256,valid,218,1,1,1,0,downgrade_attack,1
2025-12-04 19:46:08,CP-028,CAN-BUS,NONE,NONE,NONE,0,0,0,valid,132,0,0,1,0,plaintext_communication,1
2025-12-04 14:25:08,CP-012,OCPP 2.0.1,AES-128-GCM,TLS 1.3,ECDHE-RSA-AES256-GCM-SHA384,1,256,256,valid,176,1,1,1,1,none,0
2025-12-04 04:29:08,CP-020,CAN-BUS,ChaCha20-Poly1305,TLS 1.3,TLS_CHACHA20_POLY1305_SHA256,1,256,256,verified,44,1,1,1,1,none,0
2025-12-04 08:20:08,CP-011,OCPP 2.0.1,AES-128-GCM,TLS 1.2,ECDHE-RSA-AES256-GCM-SHA384,1,256,384,valid,165,1,1,1,1,none,0
2025-12-04 17:05:08,CP-007,CAN-BUS,NONE,TLS 1.0,TLS_RSA_WITH_3DES_EDE_CBC_SHA,1,112,256,valid,146,1,1,1,0,downgrade_attack,1
2025-12-04 07:02:08,CP-039,OCPP 2.0.1,AES-256-GCM,TLS 1.2,TLS_AES_256_GCM_SHA384,1,256,384,valid,163,1,1,1,1,none,0
2025-12-04 15:28:08,CP-002,OCPP 2.0.1,NONE,NONE,NONE,0,0,0,valid,129,0,0,1,0,plaintext_communication,1
2025-12-04 08:34:08,CP-029,OCPP 1.6,AES-128-GCM,TLS 1.3,TLS_AES_256_GCM_SHA384,1,384,521,valid,152,1,1,1,1,none,0
2025-12-04 06:34:08,CP-018,CAN-BUS,AES-256-GCM,TLS 1.2,TLS_CHACHA20_POLY1305_SHA256,1,384,384,valid,262,1,1,1,1,none,0
2025-12-04 06:46:08,CP-008,CAN-BUS,AES-128-GCM,TLS 1.2,ECDHE-RSA-AES128-GCM-SHA256,1,384,384,valid,128,1,1,1,1,none,0
2025-12-04 14:42:08,CP-019,ISO 15118,ChaCha20-Poly1305,TLS 1.2,TLS_CHACHA20_POLY1305_SHA256,1,384,256,verified,297,1,1,1,1,none,0
2025-12-04 13:43:08,CP-027,OCPP 2.0.1,AES-256-GCM,TLS 1.3,ECDHE-RSA-AES256-GCM-SHA384,1,384,521,valid,212,1,1,1,1,none,0
2025-12-04 05:27:08,CP-018,OCPP 2.0,AES-128-GCM,TLS 1.3,TLS_CHACHA20_POLY1305_SHA256,1,256,256,verified,309,1,1,1,1,none,0
2025-12-04 14:48:08,CP-043,CAN-BUS,AES-128-GCM,TLS 1.3,ECDHE-RSA-AES256-GCM-SHA384,1,384,256,verified,54,1,1,1,1,none,0
2025-12-04 05:44:08,CP-009,ISO 15118,AES-256-GCM,TLS 1.3,ECDHE-RSA-AES256-GCM-SHA384,1,384,256,verified,177,1,1,1,1,none,0
2025-12-04 12:37:08,CP-025,CAN-BUS,AES-256-GCM,TLS 1.3,ECDHE-RSA-AES128-GCM-SHA256,1,256,384,verified,298,1,1,1,1,none,0
2025-12-04 18:01:08,CP-032,OCPP 2.0.1,AES-256-GCM,TLS 1.3,TLS_CHACHA20_POLY1305_SHA256,1,256,256,invalid_chain,364,1,0,1,1,man_in_the_middle,1
2025-12-04 17:10:08,CP-035,CAN-BUS,ChaCha20-Poly1305,TLS 1.2,TLS_AES_256_GCM_SHA384,1,256,64,valid,313,1,1,0,0,key_management_issue,1
2025-12-04 05:05:08,CP-022,OCPP 1.6,ChaCha20-Poly1305,TLS 1.2,ECDHE-RSA-AES128-GCM-SHA256,1,256,384,valid,176,1,1,1,1,none,0
2025-12-04 11:59:08,CP-044,OCPP 2.0,AES-256-GCM,TLS 1.2,TLS_AES_128_GCM_SHA256,1,256,384,valid,363,1,1,1,1,none,0
2025-12-04 03:50:08,CP-024,OCPP 2.0,AES-256-GCM,TLS 1.3,TLS_CHACHA20_POLY1305_SHA256,1,384,521,valid,93,1,1,1,1,none,0
2025-12-04 19:15:08,CP-012,CAN-BUS,3DES,TLS 1.1,TLS_RSA_WITH_3DES_EDE_CBC_SHA,1,64,128,valid,224,1,1,1,0,weak_cipher,1
2025-12-04 03:26:08,CP-019,OCPP 1.6,AES-256-GCM,TLS 1.2,TLS_AES_256_GCM_SHA384,1,384,256,verified,64,1,1,1,1,none,0
2025-12-04 14:27:08,CP-009,OCPP 1.6,AES-128-GCM,TLS 1.3,ECDHE-RSA-AES128-GCM-SHA256,1,384,256,valid,182,1,1,1,1,none,0
2025-12-04 18:43:08,CP-026,OCPP 2.0,3DES,SSL 3.0,NONE,1,112,256,valid,192,1,1,1,0,ssl_tls_vulnerability,1
2025-12-04 18:59:08,CP-025,OCPP 2.0.1,ChaCha20-Poly1305,TLS 1.2,TLS_AES_128_GCM_SHA256,0,256,256,valid,211,0,0,1,1,encryption_bypass,1
2025-12-04 07:35:08,CP-050,CAN-BUS,AES-256-GCM,TLS 1.3,ECDHE-RSA-AES128-GCM-SHA256,1,256,384,valid,284,1,1,1,1,none,0
2025-12-04 08:32:08,CP-004,OCPP 2.0,ChaCha20-Poly1305,TLS 1.2,TLS_AES_128_GCM_SHA256,1,256,521,valid,135,1,1,1,1,none,0
2025-12-04 15:31:08,CP-025,ISO 15118,MD5,TLS 1.0,NONE,1,56,128,valid,206,1,1,1,0,weak_cipher,1
