record_id,timestamp,charge_point_id,session_id,tariff_type,base_price_kwh,price_per_kwh,original_price,modified_price,price_change_percent,discount_code,discount_applied,expected_discount,final_price,energy_kwh,total_cost,user_role,update_source,is_authorized,request_ip,price_valid_from,previous_update_mins,anomaly_type,label
47,2026-01-03 22:48:00,CP-0009,f3d899dc,standard,5.7,5.7,5.7,5.7,0.0,SUMMER20,20,20,4.56,54.48,248.43,system,csms,True,192.168.1.17,2026-01-03 22:48:00,1140,none,0
48,2026-01-27 16:28:00,CP-0018,4a4ce2ef,standard,7.06,7.06,7.06,7.06,0.0,SUMMER20,20,20,5.65,46.19,260.97,operator,billing_engine,True,192.168.1.45,2026-01-27 16:28:00,1052,none,0
49,2026-01-20 08:38:00,CP-0025,e18dc0a9,peak,6.04,9.06,9.06,9.06,0.0,SUMMER20,20,20,7.25,33.91,245.85,admin,csms,True,192.168.1.13,2026-01-20 08:38:00,1130,none,0
50,2026-01-24 17:31:00,CP-0042,84375c5b,peak,2.78,4.17,4.17,4.17,0.0,LOYAL15,15,15,3.54,55.35,195.94,system,billing_engine,True,192.168.1.45,2026-01-24 17:31:00,912,none,0
51,2026-01-19 03:56:00,CP-0029,7c80cf32,peak,3.28,1.97,1.97,4.92,149.75,SUMMER20,20,20,1.58,10.86,17.16,system,billing_engine,True,192.168.1.38,2026-01-19 03:56:00,1204,tariff_shift,1
52,2026-01-05 13:40:00,CP-0006,0bf7b3a7,standard,6.63,6.63,6.63,2.65,-60.03,FIRST50,50,50,3.31,71.39,236.3,operator,csms,True,192.168.1.9,2026-01-05 13:40:00,1,abnormal_price_change,1
53,2026-01-29 11:22:00,CP-0035,c2fa6f4f,standard,6.76,6.76,6.76,6.76,0.0,NONE,0,0,6.76,26.78,181.03,operator,csms,True,192.168.1.46,2026-01-29 11:22:00,1366,none,0
54,2026-01-13 03:01:00,CP-0037,d034d609,night,4.82,2.89,2.89,2.89,0.0,SUMMER20,20,20,2.31,63.49,146.66,admin,csms,True,192.168.1.42,2026-01-13 03:01:00,521,none,0
55,2026-01-25 07:15:00,CP-0040,158206b8,peak,5.97,8.96,8.96,8.96,0.0,WELCOME10,10,10,8.06,11.15,89.87,system,billing_engine,True,192.168.1.17,2026-01-25 07:15:00,478,none,0
56,2026-01-30 01:08:00,CP-0019,0ec5b662,night,6.83,4.1,4.1,4.1,0.0,FIRST50,50,50,2.05,24.46,50.14,operator,billing_engine,True,192.168.1.25,2026-01-30 01:08:00,132,none,0
57,2026-01-15 15:29:00,CP-0031,5ca67702,standard,7.21,7.21,7.21,7.21,0.0,NONE,0,0,7.21,31.12,224.38,admin,billing_engine,True,192.168.1.47,2026-01-15 15:29:00,986,none,0
58,2026-01-14 16:25:00,CP-0002,ab14ebc9,standard,6.03,6.03,6.03,2.51,-58.37,FIRST50,50,50,3.02,30.5,92.11,guest,unknown,False,10.73.58.50,2026-01-14 16:25:00,1141,unauthorized_update,1
59,2026-01-21 00:48:00,CP-0024,097aad9d,night,7.54,4.52,4.52,4.52,0.0,SUMMER20,20,20,3.62,28.47,103.06,admin,csms,True,192.168.1.48,2026-01-21 00:48:00,358,none,0
60,2026-01-20 11:40:00,CP-0028,020cd721,standard,6.99,6.99,6.99,6.99,0.0,NONE,0,0,6.99,44.26,309.38,system,billing_engine,True,192.168.1.23,2026-01-20 11:40:00,1046,none,0
61,2026-01-25 21:45:00,CP-0022,9087b6f1,standard,8.47,8.47,8.47,8.47,0.0,SUMMER20,20,20,6.78,59.49,403.34,admin,billing_engine,True,192.168.1.43,2026-01-25 21:45:00,794,none,0
62,2026-01-20 22:31:00,CP-0002,b4868c5f,standard,7.77,7.77,7.77,7.77,0.0,FIRST50,50,50,3.88,11.75,45.59,operator,billing_engine,True,192.168.1.16,2026-01-20 22:31:00,500,none,0
63,2026-01-04 12:40:00,CP-0010,a1a7b098,standard,5.72,5.72,5.72,5.72,0.0,NONE,0,0,5.72,25.81,147.63,operator,csms,True,192.168.1.33,2026-01-04 12:40:00,476,none,0
64,2026-01-18 02:33:00,CP-0048,b8a4cd2d,night,2.97,1.78,1.78,1.78,0.0,LOYAL15,15,15,1.51,30.46,45.99,operator,csms,True,192.168.1.5,2026-01-18 02:33:00,1105,none,0
65,2026-01-02 23:33:00,CP-0043,3bdea14e,peak,7.93,7.93,7.93,11.89,49.94,LOYAL15,15,15,6.74,45.06,303.7,admin,billing_engine,True,192.168.1.45,2026-01-02 23:33:00,700,tariff_shift,1
66,2026-01-26 08:43:00,CP-0029,917b8cef,peak,4.96,7.44,7.44,0.0,-100.0,LOYAL15,15,15,6.32,40.88,258.36,system,csms,True,192.168.1.17,2026-01-26 08:43:00,415,negative_price,1
67,2026-01-04 07:15:00,CP-0011,19f2ceb1,peak,4.58,6.87,6.87,6.87,0.0,LOYAL15,15,15,5.84,52.71,307.83,admin,billing_engine,True,192.168.1.29,2026-01-04 07:15:00,83,none,0
68,2026-01-16 14:34:00,CP-0050,94a72bc2,standard,6.6,6.6,6.6,6.6,0.0,FIRST50,50,50,3.3,10.47,34.55,system,csms,True,192.168.1.1,2026-01-16 14:34:00,596,none,0
69,2026-01-20 18:40:00,CP-0041,8975abf2,peak,8.24,12.36,12.36,12.36,0.0,SUMMER20,20,20,9.89,65.58,648.59,operator,billing_engine,True,192.168.1.41,2026-01-20 18:40:00,1314,none,0
70,2026-01-10 22:55:00,CP-0001,a296f668,standard,6.1,6.1,6.1,1.83,-70.0,NONE,0,0,6.1,39.01,237.96,operator,billing_engine,True,192.168.1.40,2026-01-10 22:55:00,1328,fake_price,1
71,2026-01-20 04:37:00,CP-0037,4a61244d,night,3.96,2.38,2.38,11.9,400.0,LOYAL15,15,15,2.02,67.21,135.76,operator,csms,True,192.168.1.22,2026-01-20 04:37:00,76,fake_price,1
72,2026-01-27 05:38:00,CP-0038,6aaf4a1c,night,5.54,3.32,3.32,3.32,0.0,FIRST50,50,50,1.66,46.57,77.31,system,csms,True,192.168.1.29,2026-01-27 05:38:00,1230,none,0
73,2026-01-05 18:04:00,CP-0049,33f313eb,night,2.61,3.92,3.92,1.57,-59.95,FIRST50,50,50,1.96,37.34,73.19,admin,csms,True,192.168.1.3,2026-01-05 18:04:00,1411,tariff_shift,1
74,2026-01-19 03:14:00,CP-0030,1c4877a3,night,3.56,2.14,2.14,2.14,0.0,NONE,0,0,2.14,8.77,18.77,admin,csms,True,192.168.1.30,2026-01-19 03:14:00,333,none,0
75,2026-01-22 19:35:00,CP-0049,bb637615,peak,4.37,6.55,6.55,3.23,-50.69,LOYAL15,15,15,5.57,52.68,293.43,user,unknown,False,10.235.216.56,2026-01-22 19:35:00,1273,unauthorized_update,1
76,2026-01-07 14:28:00,CP-0035,b4ee3c0a,standard,4.27,4.27,4.27,4.27,0.0,LOYAL15,15,15,3.63,32.53,118.08,admin,billing_engine,True,192.168.1.47,2026-01-07 14:28:00,439,none,0
77,2026-01-11 20:23:00,CP-0026,b6c43f99,peak,8.27,12.4,12.4,12.4,0.0,FIRST50,50,50,6.2,5.01,31.06,admin,billing_engine,True,192.168.1.39,2026-01-11 20:23:00,93,none,0
78,2026-01-08 05:08:00,CP-0032,d741bd70,night,4.11,2.47,2.47,2.47,0.0,LOYAL15,15,15,2.1,15.95,33.49,admin,billing_engine,True,192.168.1.18,2026-01-08 05:08:00,922,none,0
79,2026-01-12 10:49:00,CP-0035,56b47322,standard,5.76,5.76,5.76,5.76,0.0,LOYAL15,15,15,4.9,66.7,326.83,admin,billing_engine,True,192.168.1.35,2026-01-12 10:49:00,507,none,0
80,2026-01-22 19:23:00,CP-0011,46f20e65,peak,2.83,4.25,4.25,4.25,0.0,NONE,0,0,4.25,32.58,138.47,operator,csms,True,192.168.1.37,2026-01-22 19:23:00,1440,none,0
81,2026-01-28 05:55:00,CP-0001,0bd5a529,night,7.02,4.21,4.21,4.21,0.0,WELCOME10,10,10,3.79,48.05,182.11,operator,billing_engine,True,192.168.1.29,2026-01-28 05:55:00,757,none,0
82,2026-01-30 18:27:00,CP-0047,8f028a61,peak,2.62,3.93,3.93,9.83,150.13,LOYAL15,15,15,3.34,19.42,64.86,operator,billing_engine,True,192.168.1.15,2026-01-30 18:27:00,10,abnormal_price_change,1
83,2026-01-15 21:51:00,CP-0049,5568f32f,standard,6.95,6.95,6.95,2.08,-70.07,WELCOME10,10,10,6.25,71.85,449.06,guest,unknown,False,10.139.28.125,2026-01-15 21:51:00,936,unauthorized_update,1
84,2026-01-28 19:12:00,CP-0033,4763a0c1,peak,4.43,6.64,6.64,6.64,0.0,FIRST50,50,50,3.32,16.31,54.15,admin,billing_engine,True,192.168.1.7,2026-01-28 19:12:00,763,none,0
85,2026-01-04 17:19:00,CP-0030,5b3beb9f,night,7.49,11.23,11.23,4.49,-60.02,NONE,0,0,11.23,17.6,197.65,operator,csms,True,192.168.1.31,2026-01-04 17:19:00,1417,tariff_shift,1
86,2026-01-01 03:29:00,CP-0047,a3c34a6d,night,7.72,4.63,4.63,4.53,-2.16,FIRST50,50,50,2.31,67.66,156.29,admin,csms,True,192.168.1.39,2026-01-01 03:29:00,311,rounding_attack,1
87,2026-01-02 09:18:00,CP-0045,db8c90e5,night,5.06,5.06,5.06,3.04,-39.92,LOYAL15,15,15,4.3,75.96,326.63,system,csms,True,192.168.1.44,2026-01-02 09:18:00,225,tariff_shift,1
88,2026-01-29 16:06:00,CP-0043,0682199b,standard,4.88,4.88,4.88,-1.0,-100.0,NONE,0,0,4.88,55.74,272.01,admin,csms,True,192.168.1.26,2026-01-29 16:06:00,880,negative_price,1
89,2026-01-01 06:15:00,CP-0022,27e2d656,peak,7.51,11.27,11.27,0.01,-99.91,FIRST50,50,50,5.63,26.51,149.25,admin,csms,True,192.168.1.18,2026-01-01 06:15:00,822,negative_price,1
90,2026-01-03 11:37:00,CP-0048,61b0d324,standard,6.91,6.91,6.91,6.91,0.0,WELCOME10,10,10,6.22,28.52,177.39,admin,billing_engine,True,192.168.1.33,2026-01-03 11:37:00,1147,none,0
91,2026-01-26 18:36:00,CP-0013,5937556a,peak,8.13,12.2,12.2,2.44,-80.0,NONE,0,0,12.2,42.69,520.82,system,billing_engine,True,192.168.1.18,2026-01-26 18:36:00,473,fake_price,1
92,2026-01-28 05:19:00,CP-0043,1c26d76b,night,3.69,2.21,2.21,2.21,0.0,WELCOME10,10,10,1.99,21.33,42.45,admin,csms,True,192.168.1.41,2026-01-28 05:19:00,949,none,0
93,2026-01-20 05:40:00,CP-0002,0d820d13,night,4.93,2.96,2.96,2.96,0.0,LOYAL15,15,15,2.52,34.21,86.21,admin,csms,True,192.168.1.42,2026-01-20 05:40:00,1326,none,0
94,2026-01-24 01:05:00,CP-0025,ae294716,night,3.33,2.0,2.0,2.0,0.0,SUMMER20,20,20,1.6,57.05,91.28,system,csms,True,192.168.1.5,2026-01-24 01:05:00,909,none,0
95,2026-01-27 16:13:00,CP-0011,ae775cee,standard,4.09,4.09,4.09,4.09,0.0,WELCOME10,10,10,3.68,22.99,84.6,system,csms,True,192.168.1.11,2026-01-27 16:13:00,65,none,0
96,2026-01-23 17:31:00,CP-0031,32438095,peak,6.75,10.12,10.12,10.12,0.0,LOYAL15,15,15,8.6,66.18,569.15,operator,billing_engine,True,192.168.1.44,2026-01-23 17:31:00,284,none,0
97,2026-01-14 19:59:00,CP-0025,ce9b1088,peak,3.99,5.99,5.99,5.99,0.0,LOYAL15,15,15,5.09,22.66,115.34,operator,billing_engine,True,192.168.1.20,2026-01-14 19:59:00,1252,none,0
98,2026-01-06 21:32:00,CP-0043,7f4d14b2,standard,6.32,6.32,6.32,0.01,-99.84,FIRST50,50,50,3.16,38.68,122.23,system,billing_engine,True,192.168.1.6,2026-01-06 21:32:00,1339,negative_price,1
99,2026-01-14 10:52:00,CP-0043,84ea4c60,standard,3.94,3.94,3.94,3.99,1.27,LOYAL15,15,15,3.35,34.89,116.88,system,csms,True,192.168.1.23,2026-01-14 10:52:00,736,rounding_attack,1
100,2026-01-12 21:48:00,CP-0038,7bbfdffd,standard,6.78,6.78,6.78,0.01,-99.85,NONE,0,0,6.78,25.47,172.69,system,billing_engine,True,192.168.1.23,2026-01-12 21:48:00,1034,negative_price,1
101,2026-01-27 17:59:00,CP-0016,1373329b,night,4.51,6.76,6.76,2.71,-59.91,LOYAL15,15,15,5.75,13.09,75.27,admin,billing_engine,True,192.168.1.4,2026-01-27 17:59:00,743,tariff_shift,1
102,2026-01-25 14:08:00,CP-0031,ce5f944e,standard,2.82,2.82,2.82,2.82,0.0,FIRST50,50,50,1.41,75.47,106.41,admin,billing_engine,True,192.168.1.26,2026-01-25 14:08:00,417,none,0
103,2026-01-25 10:28:00,CP-0029,5a36b906,standard,3.03,3.03,3.03,3.03,0.0,FIRST50,50,50,1.51,28.7,43.34,operator,csms,True,192.168.1.7,2026-01-25 10:28:00,886,none,0
104,2026-01-03 12:17:00,CP-0045,5b47e159,standard,7.7,7.7,7.7,7.7,0.0,SUMMER20,20,20,6.16,69.96,430.95,admin,csms,True,192.168.1.46,2026-01-03 12:17:00,719,none,0
105,2026-01-29 16:51:00,CP-0026,aac932b9,standard,4.35,4.35,4.35,4.35,0.0,WELCOME10,10,10,3.91,24.08,94.15,admin,csms,True,192.168.1.38,2026-01-29 16:51:00,209,none,0
106,2026-01-02 21:16:00,CP-0015,ede2af12,standard,5.14,5.14,5.14,5.14,0.0,LOYAL15,15,15,4.37,67.78,296.2,system,csms,True,192.168.1.10,2026-01-02 21:16:00,1426,none,0
107,2026-01-09 19:38:00,CP-0047,b595d18a,peak,3.79,5.69,5.69,1.71,-69.95,LOYAL15,15,15,4.84,55.79,270.02,operator,csms,True,192.168.1.27,2026-01-09 19:38:00,358,fake_price,1
108,2026-01-30 19:02:00,CP-0018,44fc56fc,peak,3.94,5.91,5.91,-0.5,-100.0,SUMMER20,20,20,4.73,71.19,336.73,system,billing_engine,True,192.168.1.43,2026-01-30 19:02:00,196,negative_price,1
109,2026-01-05 04:28:00,CP-0036,0c0d0a9b,night,5.47,3.28,3.28,1.29,-60.67,WELCOME10,10,10,2.95,61.48,181.37,guest,external_api,False,10.215.46.8,2026-01-05 04:28:00,331,unauthorized_update,1
110,2026-01-15 04:19:00,CP-0014,09004332,night,8.24,4.94,4.94,4.94,0.0,WELCOME10,10,10,4.45,75.29,335.04,system,csms,True,192.168.1.48,2026-01-15 04:19:00,1040,none,0
111,2026-01-17 05:29:00,CP-0020,4372dbdd,night,5.7,3.42,3.42,3.42,0.0,LOYAL15,15,15,2.91,24.62,71.64,system,billing_engine,True,192.168.1.30,2026-01-17 05:29:00,261,none,0
112,2026-01-22 02:07:00,CP-0013,9001eaec,night,3.85,2.31,2.31,2.31,0.0,ADMIN100,77,0,0.53,75.95,40.25,operator,billing_engine,True,192.168.1.48,2026-01-22 02:07:00,1072,discount_manipulation,1
113,2026-01-16 00:38:00,CP-0045,4a1db77a,night,5.73,3.44,3.44,1.38,-59.88,SUMMER20,20,20,2.75,12.43,34.18,admin,csms,True,192.168.1.3,2026-01-16 00:38:00,5,abnormal_price_change,1
114,2026-01-03 04:36:00,CP-0036,d6624abf,night,5.87,3.52,3.52,3.52,0.0,LOYAL15,15,15,2.99,26.65,79.68,operator,billing_engine,True,192.168.1.49,2026-01-03 04:36:00,1186,none,0
115,2026-01-21 03:51:00,CP-0040,5a77d946,night,8.33,5.0,5.0,2.0,-60.0,SUMMER20,20,20,4.0,20.54,82.16,system,csms,True,192.168.1.43,2026-01-21 03:51:00,3,abnormal_price_change,1
116,2026-01-04 16:27:00,CP-0038,a53029c2,standard,4.85,4.85,4.85,4.85,0.0,NONE,0,0,4.85,52.21,253.22,system,billing_engine,True,192.168.1.40,2026-01-04 16:27:00,788,none,0
117,2026-01-29 04:17:00,CP-0007,b4fea429,night,6.48,3.89,3.89,3.89,0.0,LOYAL15,15,15,3.31,6.43,21.28,system,billing_engine,True,192.168.1.15,2026-01-29 04:17:00,839,none,0
118,2026-01-26 10:05:00,CP-0011,8b5e69f0,standard,7.8,7.8,7.8,7.8,0.0,SUMMER20,20,20,6.24,61.58,384.26,admin,csms,True,192.168.1.18,2026-01-26 10:05:00,967,none,0
119,2026-01-15 03:01:00,CP-0012,11227a68,night,3.19,1.91,1.91,1.91,0.0,LOYAL15,15,15,1.62,48.54,78.63,operator,csms,True,192.168.1.7,2026-01-15 03:01:00,1281,none,0
120,2026-01-11 16:49:00,CP-0010,4d330d7b,standard,5.18,5.18,5.18,2.1,-59.46,FIRST50,50,50,2.59,53.96,139.76,user,mobile_app,False,10.134.200.1,2026-01-11 16:49:00,859,unauthorized_update,1
121,2026-01-29 03:33:00,CP-0024,3368ec76,night,2.92,1.75,1.75,0.7,-60.0,WELCOME10,10,10,1.57,43.89,68.91,admin,billing_engine,True,192.168.1.27,2026-01-29 03:33:00,2,abnormal_price_change,1
122,2026-01-14 14:10:00,CP-0048,ff493974,standard,4.86,4.86,4.86,4.86,0.0,NONE,0,0,4.86,68.2,331.45,system,billing_engine,True,192.168.1.33,2026-01-14 14:10:00,1103,none,0
123,2026-01-29 22:25:00,CP-0035,4496572d,standard,4.45,4.45,4.45,1.19,-73.26,NONE,0,0,4.45,15.3,68.09,user,external_api,False,10.120.72.212,2026-01-29 22:25:00,415,unauthorized_update,1
